Company_Name,Sector,Indicator_ID,Value,Unit,Source_URL,Data_Year,Confidence,Data_Tier,Extraction_Method,Dimension
Aarti Industries Limited,Unknown,5.2_radioactive_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aarti Industries Limited,Unknown,5.3_waste_intensity,5.8257e-06,tonnes/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,1.1_scope1_emissions,33.02,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aavas Financiers Limited,Unknown,1.2_scope2_emissions,2746.2,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aavas Financiers Limited,Unknown,1.3_scope3_emissions,14430.15,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aavas Financiers Limited,Unknown,1.4_total_energy_renewable,0.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aavas Financiers Limited,Unknown,1.4_total_energy_non_renewable,13741.68,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aavas Financiers Limited,Unknown,1.4_total_energy,13741.68,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aavas Financiers Limited,Unknown,1.4_energy_intensity,5.827e-07,GJ/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aavas Financiers Limited,Unknown,2.1_water_withdrawal,119033.79,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Aavas Financiers Limited,Unknown,2.2_water_discharged,0.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Aavas Financiers Limited,Unknown,2.3_water_intensity,5.0472e-06,KL/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Aavas Financiers Limited,Unknown,5.2_total_waste_generated,12.96,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_total_waste_recovered,4.34,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_total_waste_disposed,8.62,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_waste_recycled,4.34,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_waste_reused,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_plastic_waste,3.954,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_e_waste,2.95,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_battery_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_biomedical_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.2_radioactive_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aavas Financiers Limited,Unknown,5.3_waste_intensity,5e-10,tonnes/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,1.1_scope1_emissions,13488976.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ACC Limited,Unknown,1.2_scope2_emissions,625212.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ACC Limited,Unknown,1.4_total_energy_renewable,5987089.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ACC Limited,Unknown,1.4_total_energy_non_renewable,63010229.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ACC Limited,Unknown,1.4_total_energy,68997318.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ACC Limited,Unknown,1.4_energy_intensity,0.000335036,GJ/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ACC Limited,Unknown,2.1_water_withdrawal,4799919.85,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
ACC Limited,Unknown,2.2_water_discharged,0.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
ACC Limited,Unknown,2.3_water_intensity,2.33074e-05,KL/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
ACC Limited,Unknown,5.1_hazardous_air_pollutants,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_total_waste_generated,477485.5,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_total_waste_recovered,477485.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_total_waste_disposed,0.5,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_waste_recycled,477485.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_waste_reused,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_plastic_waste,39453.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_e_waste,26.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_battery_waste,32.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_biomedical_waste,0.5,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.2_radioactive_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ACC Limited,Unknown,5.3_waste_intensity,2.3186e-06,tonnes/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,1.1_scope1_emissions,1340619.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Energy Solutions Limited,Unknown,1.2_scope2_emissions,420669.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Energy Solutions Limited,Unknown,1.3_scope3_emissions,2164885.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Energy Solutions Limited,Unknown,1.4_total_energy_renewable,56343.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Energy Solutions Limited,Unknown,1.4_total_energy_non_renewable,20201629.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Energy Solutions Limited,Unknown,1.4_total_energy,20257972.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Energy Solutions Limited,Unknown,1.4_energy_intensity,8.28664e-05,GJ/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Energy Solutions Limited,Unknown,2.1_water_withdrawal,257504976.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Energy Solutions Limited,Unknown,2.2_water_discharged,129460678.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Energy Solutions Limited,Unknown,2.3_water_intensity,4.2106e-06,KL/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Energy Solutions Limited,Unknown,5.1_hazardous_air_pollutants,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_total_waste_generated,3789.36,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_total_waste_recovered,3770.83,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_total_waste_disposed,18.54,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_waste_recycled,3760.64,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_waste_reused,7.3,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_plastic_waste,31.25,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_e_waste,366.23,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_battery_waste,472.92,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_biomedical_waste,0.09,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.2_radioactive_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Energy Solutions Limited,Unknown,5.3_waste_intensity,1.55e-08,tonnes/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,1.1_scope1_emissions,1255719.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Enterprises Limited,Unknown,1.2_scope2_emissions,419927.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Enterprises Limited,Unknown,1.3_scope3_emissions,9365982.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Enterprises Limited,Unknown,1.4_total_energy_renewable,598020.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Enterprises Limited,Unknown,1.4_total_energy_non_renewable,6210796.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Enterprises Limited,Unknown,1.4_total_energy,6808816.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Enterprises Limited,Unknown,1.4_energy_intensity,1.6483e-05,GJ/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Enterprises Limited,Unknown,2.1_water_withdrawal,5852818.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Enterprises Limited,Unknown,2.2_water_discharged,1509232.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Enterprises Limited,Unknown,2.3_water_intensity,1.05151e-05,KL/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Enterprises Limited,Unknown,5.1_hazardous_air_pollutants,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_total_waste_generated,247572956.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_total_waste_recovered,247287040.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_total_waste_disposed,279669.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_waste_recycled,17823.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_waste_reused,247239539.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_plastic_waste,4431.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_e_waste,31.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_battery_waste,99.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_biomedical_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.2_radioactive_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Enterprises Limited,Unknown,5.3_waste_intensity,0.0005993342,tonnes/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,1.1_scope1_emissions,150398.25,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Ports and Special Economic Zone Limited,Unknown,1.2_scope2_emissions,323098.43,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Ports and Special Economic Zone Limited,Unknown,1.3_scope3_emissions,2005650.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Ports and Special Economic Zone Limited,Unknown,1.4_total_energy_renewable,282.83,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
