Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Mastek Limited,Other Business Services,345523000760.1562,3839.144452890625,Other business activities,0.05,191.95722264453124,0.0499999999869762,0.5555555539476871,93,246.0
PATANJALI FOODS LIMITED,Other Business Services,341569798024.1968,3795.219978046631,Other business activities,0.05,189.76099890233155,0.0499999999868255,0.5555555539290782,94,247.0
Hindustan Zinc Limited,Other Business Services,340833904742.8792,3787.0433860319913,Other business activities,0.05,189.3521693015996,0.0499999999867971,0.5555555539255665,95,248.0
Infosys Limited,IT Services,1629808355691.836,18108.981729909287,Computer and related activities,0.01,181.08981729909289,0.0099999999994477,0.1111111110429367,96,553.0
Grasim Industries Limited,Other Business Services,315632340610.3302,3507.0260067814465,Other business activities,0.05,175.35130033907234,0.0499999999857429,0.5555555537954205,97,249.0
HINDUSTAN AERONAUTICS LIMITED,Other Business Services,309810500212.81714,3442.338891253524,Other business activities,0.05,172.1169445626762,0.049999999985475,0.5555555537623447,98,250.0
Adani Ports and Special Economic Zone Limited,Other Business Services,305619354838.70966,3395.7706093189963,Other business activities,0.05,169.78853046594983,0.0499999999852758,0.5555555537377533,99,251.0
Reliance Infrastructure Limited,Other Business Services,304248242398.10223,3380.5360266455805,Other business activities,0.05,169.02680133227904,0.0499999999852094,0.5555555537295613,100,252.0
Indus Towers Limited,Other Business Services,301227774257.35614,3346.9752695261795,Other business activities,0.05,167.348763476309,0.0499999999850611,0.5555555537112518,101,253.0
Air India,Other Business Services,300000000000.0,3333.333333333333,Other business activities,0.05,166.66666666666669,0.05,0.5555555555555556,102,139.0
Torrent Pharmaceuticals Limited,Pharmaceuticals,96824200762.33282,1075.8244529148092,Chemicals nec,0.15,161.37366793722137,0.149999999860572,1.6666666494533395,103,52.0
