Company_Name,Tier1_Core_Count,Tier12_Core_Count,Tier1_Total_Points,Tier12_Total_Points,Tier1_Coverage_Pct,Tier12_Coverage_Pct
Data Patterns (India) Limited,1,2,1,2,9.090909090909092,18.181818181818183
Airports Authority of India (AAI),1,2,1,2,9.090909090909092,18.181818181818183
SpiceJet,1,2,1,2,9.090909090909092,18.181818181818183
Siyaram Silk Mills,1,2,1,2,9.090909090909092,18.181818181818183
Bhushan Steel (Tata Steel BSL),2,2,2,2,18.181818181818183,18.181818181818183
Nuvoco Vistas Corp (Nirma Cement),1,2,1,2,9.090909090909092,18.181818181818183
Safari Industries (India) Limited,1,2,1,2,9.090909090909092,18.181818181818183
Odisha Mining Corporation,0,2,0,2,0.0,18.181818181818183
Gujarat State Electricity Corporation,1,2,1,2,9.090909090909092,18.181818181818183
Century Plyboards (India) Limited,1,2,1,2,9.090909090909092,18.181818181818183
Raymond Limited,1,2,1,2,9.090909090909092,18.181818181818183
RITES Limited,1,2,2,3,9.090909090909092,18.181818181818183
Indus Towers Limited,0,1,1,2,0.0,9.090909090909092
Zydus Lifesciences Limited,0,1,1,2,0.0,9.090909090909092
Vedant Fashions Limited,0,1,1,2,0.0,9.090909090909092
IIFL Finance Limited,0,1,1,2,0.0,9.090909090909092
Wockhardt Limited,0,1,1,2,0.0,9.090909090909092
HFCL Limited,0,1,1,2,0.0,9.090909090909092
Vedanta-Aluminium-TNFD-2025,1,1,2,2,9.090909090909092,9.090909090909092
Engineers India Limited,0,1,1,2,0.0,9.090909090909092
Prism Johnson Limited,0,1,1,2,0.0,9.090909090909092
Atul Limited,0,1,1,2,0.0,9.090909090909092
Usha Martin,0,1,1,2,0.0,9.090909090909092
Infibeam Avenues Limited,0,1,1,2,0.0,9.090909090909092
Inox Wind Limited,0,1,2,3,0.0,9.090909090909092
Cochin Shipyard Limited,0,1,1,2,0.0,9.090909090909092
R R Kabel Limited,0,1,1,2,0.0,9.090909090909092
Kajaria Ceramics Limited,0,1,1,2,0.0,9.090909090909092
Chalet Hotels Limited,0,1,1,2,0.0,9.090909090909092
Century Pulp and Paper (Century Textiles),1,1,1,1,9.090909090909092,9.090909090909092
Monnet Ispat (JSW Ispat Special Products Limited),1,1,1,1,9.090909090909092,9.090909090909092
Route Mobile Limited,0,1,1,2,0.0,9.090909090909092
PB FINTECH LIMITED,0,1,1,2,0.0,9.090909090909092
Eureka Forbes Limited,0,1,1,2,0.0,9.090909090909092
Birla Corporation Limited,0,1,1,2,0.0,9.090909090909092
Birla Corporation,0,1,1,2,0.0,9.090909090909092
Pfizer Limited,0,1,1,2,0.0,9.090909090909092
