Company_Name,Sector_Original,Sector_Expert,Revenue_Cr
Tube Investments of India Limited,Chemicals & Fertilizers,Financial Services,7431.411310808297
UNITED BREWERIES LIMITED,Chemicals & Fertilizers,Pharmaceuticals,19469.04761904762
UTI Asset Management Company Limited,Chemicals & Fertilizers,Financial Services,1449.2334352701323
Usha Martin Limited,Chemicals & Fertilizers,Steel & Iron,2171.062205256991
Vedanta Limited,Chemicals & Fertilizers,Steel & Iron,152967.98381651443
Wipro Limited,Chemicals & Fertilizers,Information Technology,89088.39515174735
ZF Commercial Vehicle Control Systems India Limited,Chemicals & Fertilizers,Information Technology,3804.09205327246
Mrs. Bectors Food Specialities,Information Technology,Pharmaceuticals,1962.57
Heritage Foods,Information Technology,Pharmaceuticals,4331.67
SARDA ENERGY & MINERALS LIMITED,Power Generation,Steel & Iron,3889.0
Larsen & Toubro Limited,Information Technology,Chemicals & Fertilizers,275513.5
APL Apollo Tubes,Chemicals & Fertilizers,Steel & Iron,21325.99
IndiGo (InterGlobe Aviation),Cement,Information Technology,68904.0
Sanofi India Limited,Information Technology,Pharmaceuticals,19996.1
DIVI'S LABORATORIES LIMITED,Information Technology,Pharmaceuticals,2715.0
JK Tyre & Industries Limited,Information Technology,Chemicals & Fertilizers,15312.53
Schaeffler India Limited,Information Technology,Chemicals & Fertilizers,8076.29
Jindal Saw Limited,Information Technology,Steel & Iron,17961.9683798
Narayana Hrudayalaya Ltd.,Pharmaceuticals,Chemicals & Fertilizers,5961.09
Minda Corporation Limited,Information Technology,Chemicals & Fertilizers,4144.3
West Coast Paper Mills Limited,Information Technology,Chemicals & Fertilizers,4062.12
Bharat Heavy Electricals Limited (BHEL),Power Generation,Chemicals & Fertilizers,29269.17
Emami Paper Mills Limited,Information Technology,Chemicals & Fertilizers,1839.63
Seshasayee Paper and Boards Limited,Information Technology,Chemicals & Fertilizers,1665.4
Mahindra Holidays & Resorts India Limited,Information Technology,Chemicals & Fertilizers,2876.0
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Information Technology,Chemicals & Fertilizers,362.0
Damodar Valley Corporation (DVC),Chemicals & Fertilizers,Power Generation,21200.0
Welspun Living Limited (formerly Welspun India),Information Technology,Chemicals & Fertilizers,9836.99
CCL Products (India) Limited,Information Technology,Chemicals & Fertilizers,3784.99
ITC Limited (Paperboards Division),Information Technology,Pharmaceuticals,78551.59
Nestle India,Chemicals & Fertilizers,Pharmaceuticals,20970.46
K.P.R. MILL LIMITED,Information Technology,Chemicals & Fertilizers,1632.0
Haldiram Snacks Food Private Limited,Information Technology,Pharmaceuticals,10500.0
L&T Finance Limited,Information Technology,Financial Services,7988.13
IndiaMART InterMESH Limited,Information Technology,Chemicals & Fertilizers,1472.23
GAIL (India) Limited,Information Technology,Oil & Gas,144124.63
Siemens Limited,Information Technology,Chemicals & Fertilizers,20496.6
Vedanta,Chemicals & Fertilizers,Steel & Iron,39868.0
