Company_Name,Land_Footprint_Hectares,Raw_Value,Unit,Source,Data_Tier,Num_Area_Mentions,All_Areas_Found
Honasa Consumer Limited,,,,,,0,
HONEYWELL AUTOMATION INDIA LIMITED,,,,,,0,
ICICI Bank Limited,,,,,,0,
ICICI Lombard General Insurance Company Limited,,,,,,0,
ICICI Prudential Life Insurance Company Limited,,,,,,0,
IDBI Bank Limited,,,,,,0,
IDFC FIRST Bank Limited,,,,,,0,
IFCI Limited,,,,,,0,
IIFL Finance Limited,,,,,,0,
Indegene Limited,,,,,,0,
INDIAMART INTERMESH LIMITED,,,,,,0,
Indian Bank,,,,,,0,
Indian Energy Exchange Limited,,,,,,0,
Indian Oil Corporation Limited,1077.01,1077.01,hectares,XBRL_TextExtraction,Tier_1,2,1077.01 ha; 150.00 ha
INDIAN OVERSEAS BANK,,,,,,0,
INDIAN RAILWAY FINANCE CORPORATION LIMITED,,,,,,0,
Indian Renewable Energy Development Agency Limited,,,,,,0,
IndusInd Bank Limited,,,,,,0,
Indus Towers Limited,,,,,,0,
Infibeam Avenues Limited,,,,,,0,
Infosys Limited,,,,,,0,
INOX India Limited,,,,,,0,
Inox Wind Limited,,,,,,0,
INTELLECT DESIGN ARENA LIMITED,,,,,,0,
InterGlobe Aviation Limited,,,,,,0,
Ion Exchange India Limited,,,,,,0,
Ipca Laboratories Limited,,,,,,0,
IRB Infrastructure Developers Limited,,,,,,0,
Ircon International Limited,,,,,,0,
ISGEC Heavy Engineering Limited,,,,,,0,
ITC Limited,12505.23,30900.0,acres,XBRL_TextExtraction,Tier_1,3,12505.23 ha; 1214.10 ha; 440.00 ha
JAIPRAKASH POWER VENTURES LIMITED,,,,,,0,
JAI BALAJI INDUSTRIES LIMITED,,,,,,0,
JBM Auto Limited,,,,,,0,
Jindal Saw Limited,,,,,,0,
Jindal Stainless Limited,,,,,,0,
JINDAL STEEL  POWER LIMITED,,,,,,0,
Jio Financial Services Limited,0.37799404142976006,40686.94,sq. ft,XBRL_TextExtraction,Tier_1,1,0.38 ha
JK CEMENT LIMITED,,,,,,0,
JK LAKSHMI CEMENT LIMITED,252.105,252.105,ha,XBRL_TextExtraction,Tier_1,1,252.10 ha
JK Tyre  Industries Limited,,,,,,0,
JM Financial Limited,,,,,,0,
JSW Energy Limited,,,,,,0,
JSW Infrastructure Limited,,,,,,0,
JSW Steel Limited,,,,,,0,
Jubilant FoodWorks Limited,,,,,,0,
JUBILANT INGREVIA LIMITED,,,,,,0,
Jubilant Pharmova Limited,,,,,,0,
Juniper Hotels Limited,,,,,,0,
Jupiter Life Line Hospitals Limited,,,,,,0,
Jupiter Wagons Limited,,,,,,0,
Just Dial Limited,,,,,,0,
JYOTHY LABS LIMITED,,,,,,0,
JYOTI CNC AUTOMATION LIMITED,,,,,,0,
Kajaria Ceramics Limited,,,,,,0,
Kalpataru Projects International Limited,,,,,,0,
Kalyan Jewellers India Limited,,,,,,0,
Kansai Nerolac Paints Limited,,,,,,0,
KARUR VYSYA BANK LIMITED,,,,,,0,
Kaynes Technology India Limited,,,,,,0,
KEC International Limited,7.5,75000.0,sq. m,XBRL_TextExtraction,Tier_1,2,7.50 ha; 1.00 ha
KEI INDUSTRIES LIMITED,,,,,,0,
Keystone Realtors Limited,0.32516064,35000.0,sq. ft,XBRL_TextExtraction,Tier_1,1,0.33 ha
KFin Technologies Limited,,,,,,0,
KIOCL Limited,,,,,,0,
Kirloskar Brothers Limited,,,,,,0,
Kirloskar Oil Engines Limited,,,,,,0,
KNR Constructions Limited,,,,,,0,
KOTAK MAHINDRA BANK LIMITED,,,,,,0,
KPIT Technologies Limited,,,,,,0,
KPI GREEN ENERGY LIMITED,,,,,,0,
KPR MILL LIMITED,,,,,,0,
Krishna Institute of Medical Sciences Limited,,,,,,0,
KSB Limited,,,,,,0,
Larsen  Toubro Limited,44856.0,44856.0,hectares,XBRL_TextExtraction,Tier_1,2,44856.00 ha; 8411.00 ha
Latent View Analytics Limited,,,,,,0,
LAURUS LABS LIMITED,,,,,,0,
