Company_Name,NumberOfLocations,ContextRef
KPI GREEN ENERGY LIMITED,77,D_Plant_National
KPR MILL LIMITED,11,D_Plant_National
Krishna Institute of Medical Sciences Limited,4,D_Plant_National
KSB Limited,6,D_Plant_National
Larsen  Toubro Limited,19,D_Plant_National
Latent View Analytics Limited,0,D_Plant_National
LAURUS LABS LIMITED,7,D_Plant_National
Lemon Tree Hotels Limited,107,D_Plant_National
LIC Housing Finance Limited,0,D_Plant_National
Life Insurance Corporation of India,0,D_Plant_National
Linde India Limited,26,D_Plant_National
Lloyds Metals and Energy Limited,3,D_Plant_National
LTIMindtree Limited,0,D_Plant_National
LT Finance Limited,0,D_Plant_National
LT Technology Services Limited,0,D_Plant_National
Lupin Limited,12,D_Plant_National
MACROTECH DEVELOPERS LIMITED,46,D_Plant_National
Mahanagar Gas Limited,5,D_Plant_National
MAHARASHTRA SCOOTERS LIMITED,0,D_Plant_National
Maharashtra Seamless Limited,9,D_Plant_National
Mahindra Holidays  Resorts India Limited,50,D_Plant_National
Mahindra Lifespace Developers Limited,0,D_Plant_National
Mahindra  Mahindra Financial Services Limited,0,D_Plant_National
Mahindra  Mahindra Limited,38,D_Plant_National
Manappuram Finance Limited,0,D_Plant_National
MANKIND PHARMA LIMITED,7,D_Plant_National
Man Infraconstruction Limited,1,D_Plant_National
Marico Limited,6,D_Plant_National
Maruti Suzuki India Limited,3,D_Plant_National
Mastek Limited,0,D_Plant_National
Max Financial Services Limited,0,D_Plant_National
MAX HEALTHCARE INSTITUTE LIMITED,59,D_Plant_National
Mazagon Dock Shipbuilders Limited,2,D_Plant_National
MedPlus Health Services Limited,5,D_Plant_National
Metropolis Healthcare Limited,0,D_Plant_National
Metro Brands Limited,0,D_Plant_National
Minda Corporation Limited,22,D_Plant_National
Mishra Dhatu Nigam Limited,2,D_Plant_National
MMTC LIMITED,0,D_Plant_National
MOIL Limited,12,D_Plant_National
Motherson Sumi Wiring India Limited,30,D_Plant_National
Motilal Oswal Financial Services Limited,0,D_Plant_National
Mphasis Limited,0,D_Plant_National
MRF Limited,10,D_Plant_National
MUTHOOT FINANCE LIMITED,4855,D_Plant_National
Narayana Hrudayalaya Ltd,39,D_Plant_National
NATCO Pharma Limited,11,D_Plant_National
NAVA LIMITED,7,D_Plant_National
Navin Fluorine International Limited,3,D_Plant_National
NBCC India Limited,0,D_Plant_National
NCC LIMITED,0,D_Plant_National
Nestle India Limited,9,D_Plant_National
NETWEB TECHNOLOGIES INDIA LIMITED,2,D_Plant_National
Neuland Laboratories Limited,4,D_Plant_National
Newgen Software Technologies Limited,0,D_Plant_National
NHPC Limited,33,D_Plant_National
Nippon Life India Asset Management Limited,0,D_Plant_National
NLC India Limited,15,D_Plant_National
NMDC Limited,5,D_Plant_National
NMDC Steel Limited,1,D_Plant_National
NTPC LIMITED,34,D_Plant_National
NUVAMA WEALTH MANAGEMENT LIMITED,0,D_Plant_National
Nuvoco Vistas Corporation Limited,69,D_Plant_National
Oberoi Realty Limited,15,D_Plant_National
Oil India Limited,154,D_Plant_National
Olectra Greentech Limited,3,D_Plant_National
One 97 Communications Limited,0,D_Plant_National
Oracle Financial Services Software Limited,0,D_Plant_National
Page Industries Limited,6,D_Plant_National
PATANJALI FOODS LIMITED,26,D_Plant_National
PB FINTECH LIMITED,0,D_Plant_National
Persistent Systems Limited,0,D_Plant_National
Petronet LNG Limited,2,D_Plant_National
Pfizer Limited,1,D_Plant_National
Pidilite Industries Limited,33,D_Plant_National
Piramal Enterprises Limited,0,D_Plant_National
Piramal Pharma Limited,10,D_Plant_National
PI INDUSTRIES LIMITED,7,D_Plant_National
PNB Housing Finance Limited,0,D_Plant_National
PNC Infratech Limited,0,D_Plant_National
Polycab India Limited,61,D_Plant_National
POLY MEDICURE LIMITED,9,D_Plant_National
Poonawalla Fincorp Limited,102,D_Plant_National
Power Finance Corporation Limited,0,D_Plant_National
Power Grid Corporation of India Limited,282,D_Plant_National
Power Mech Projects Limited,0,D_Plant_National
Praj Industries Limited,7,D_Plant_National
Prestige Estates Projects Limited,0,D_Plant_National
Prism Johnson Limited,219,D_Plant_National
Procter  Gamble Health Limited,1,D_Plant_National
PTC Industries Limited,2,D_Plant_National
PUNJAB NATIONAL BANK,0,D_Plant_National
Punjab  Sind Bank,0,D_Plant_National
PVR INOX LIMITED,351,D_Plant_National
Quess Corp Limited,0,D_Plant_National
Radico Khaitan Limited,46,D_Plant_National
Railtel Corporation of India Limited,0,D_Plant_National
Rail Vikas Nigam Limited,0,D_Plant_National
RAJESH EXPORTS LIMITED,2,D_Plant_National
Ramkrishna Forgings Limited,10,D_Plant_National
RateGain Travel Technologies Limited,0,D_Plant_National
Ratnamani Metals  Tubes Limited,3,D_Plant_National
RATTANINDIA ENTERPRISES LIMITED,0,D_Plant_National
Raymond Limited,0,D_Plant_National
RBL Bank Limited,0,D_Plant_National
REC Limited,0,D_Plant_National
Redington Limited,0,D_Plant_National
Redtape Limited,1,D_Plant_National
Relaxo Footwears Limited,9,D_Plant_National
Reliance Industries Limited,15,D_Plant_National
Reliance Infrastructure Limited,2,D_Plant_National
RELIANCE POWER LIMITED,5,D_Plant_National
Responsive Industries Limited,1,D_Plant_National
RHI Magnesita India Ltd,4,D_Plant_National
RITES Limited,0,D_Plant_National
Route Mobile Limited,0,D_Plant_National
R R Kabel Limited,5,D_Plant_National
Safari Industries India Limited,3,D_Plant_National
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,98,D_Plant_National
Sandur Manganese  Iron Ores Limited,1,D_Plant_National
Sanofi India Limited,1,D_Plant_National
SAPPHIRE FOODS INDIA LIMITED,848,D_Plant_National
SARDA ENERGY  MINERALS LIMITED,5,D_Plant_National
SAREGAMA India Limited,0,D_Plant_National
SBFC Finance Limited,0,D_Plant_National
SBI Cards and Payment Services Limited,0,D_Plant_National
SBI Life Insurance Company Limited,0,D_Plant_National
Schaeffler India Limited,4,D_Plant_National
Schneider Electric Infrastructure Limited,4,D_Plant_National
