Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website,Source
Reliance Industries Ltd.,RELIANCE,RELIANCE,Oil & Gas,1947848.37102945,779139.35,,Original
Oil & Natural Gas Corporation Ltd.,ONGC,ONGC,Oil & Gas,331117.6047195915,132447.04,,Original
Coal India Ltd.,COALINDIA,COALINDIA,Oil & Gas,273683.4922373909,109473.4,,Original
Indian Oil Corporation Ltd.,IOC,IOC,Oil & Gas,231478.4176392645,92591.37,,Original
Bharat Petroleum Corporation Ltd.,BPCL,BPCL,Oil & Gas,127082.6755689765,50833.07,,Original
GAIL (India) Ltd.,GAIL,GAIL,Oil & Gas,124430.80664644449,49772.32,,Original
Adani Total Gas Ltd.,ATGL,ATGL,Oil & Gas,107112.8660521495,42845.15,,Original
Hindustan Petroleum Corporation Ltd.,HINDPETRO,HINDPETRO,Oil & Gas,70340.0768072085,28136.03,,Original
Oil India Ltd.,OIL,OIL,Oil & Gas,61802.0006958815,24720.8,,Original
Petronet LNG Ltd.,PETRONET,PETRONET,Oil & Gas,42441.4341716735,16976.57,,Original
Gujarat Gas Ltd.,GUJGASLTD,GUJGASLTD,Oil & Gas,38506.4351874925,15402.57,,Original
Mangalore Refinery & Petrochemicals Ltd.,MRPL,MRPL,Oil & Gas,36764.48136744301,14705.79,,Original
Indraprastha Gas Ltd.,IGL,IGL,Oil & Gas,31072.180356097502,12428.87,,Original
Castrol India Ltd.,CASTROLIND,CASTROLIND,Oil & Gas,19543.4234276775,7817.37,,Original
Gujarat State Petronet Ltd.,GSPL,GSPL,Oil & Gas,18754.410955627,7501.76,,Original
Aegis Logistics Ltd.,AEGISLOG,AEGISLOG,Oil & Gas,18251.5071341465,7300.6,,Original
Mahanagar Gas Ltd.,MGL,MGL,Oil & Gas,13688.1416730295,5475.26,,Original
Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNPETRO,Oil & Gas,13449.967147512,5379.99,,Original
Sandur Manganese & Iron Ores Ltd.,SANDUMA,SANDUMA,Oil & Gas,7760.89320127,3104.36,,Original
Gulf Oil Lubricants India Ltd.,GULFOILLUB,GULFOILLUB,Oil & Gas,4594.38820297,1837.76,,Original
Aegis Vopak Terminals Ltd.,544407,AEGISVOPAK,Oil & Gas,0.0,0.0,,Original
Varun Beverages Ltd.,VBL,VBL,Agriculture & Food Processing,185148.43125901947,74059.37,,Original
