Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,PDF_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,Chemicals & Fertilizers,9566.4452305185,https://nsearchives.nseindia.com/corporate/GSFC_01092025180547_BRSR2024-25.pdf,01-Sep-2025,True,data\brsr_reports\GSFC_Gujarat State Fertilizers  Che_BRSR.pdf,1409.267578125
Anupam Rasayan India Ltd.,ANURAS,Chemicals & Fertilizers,9541.5771228885,https://nsearchives.nseindia.com/corporate/ANURAS_04092025152559_ARILSLDSTX20250903041SubmissionofBRSR.pdf,04-Sep-2025,True,data\brsr_reports\ANURAS_Anupam Rasayan India Ltd_BRSR.pdf,5829.0947265625
Archean Chemical Industries Ltd.,ACI,Chemicals & Fertilizers,8032.406702804,https://nsearchives.nseindia.com/corporate/ARCHEAN_12052025001948_BRSRIntimation.pdf,12-May-2025,True,data\brsr_reports\ACI_Archean Chemical Industries Lt_BRSR.pdf,823.9677734375
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals & Fertilizers,7852.810650229,https://nsearchives.nseindia.com/corporate/JUBLINGREA_05082025221435_BRSR_signed.pdf,05-Aug-2025,False,,0.0
Balaji Amines Ltd.,BALAMINES,Chemicals & Fertilizers,7308.9310802845,https://nsearchives.nseindia.com/corporate/BALAMINES_16072025191324_BRSR_Signed.pdf,16-Jul-2025,False,,0.0
Laxmi Organic Industries Ltd.,LXCHEM,Chemicals & Fertilizers,7025.766155986001,https://nsearchives.nseindia.com/corporate/LXCHEM_09072025225429_Intimation_-_BRSR_2025.pdf,09-Jul-2025,True,data\brsr_reports\LXCHEM_Laxmi Organic Industries Ltd_BRSR.pdf,685.921875
Paradeep Phosphates Ltd.,PARADEEP,Chemicals & Fertilizers,6027.798661798501,https://nsearchives.nseindia.com/corporate/PPLTD_20082025164013_PPLBRSR20082025.pdf,20-Aug-2025,True,data\brsr_reports\PARADEEP_Paradeep Phosphates Ltd_BRSR.pdf,571.7666015625
Rain Industries Ltd,RAIN,Chemicals & Fertilizers,5704.90277416,https://nsearchives.nseindia.com/corporate/RAIN_09042025150807_RainIndustriesLtdBRSRREPORTSE.pdf,09-Apr-2025,True,data\brsr_reports\RAIN_Rain Industries Ltd_BRSR.pdf,2614.626953125
Dhanuka Agritech Ltd.,DHANUKA,Chemicals & Fertilizers,5662.8176688275,https://nsearchives.nseindia.com/corporate/DHANUKA_05072025163313_BRSR.pdf,05-Jul-2025,True,data\brsr_reports\DHANUKA_Dhanuka Agritech Ltd_BRSR.pdf,2198.037109375
Rallis India Ltd.,RALLIS,Chemicals & Fertilizers,5217.134149322001,https://nsearchives.nseindia.com/corporate/RALLIS1_14082025235716_BRSR2025.pdf,14-Aug-2025,True,data\brsr_reports\RALLIS_Rallis India Ltd_BRSR.pdf,582.8115234375
National Fertilizers Ltd.,NFL,Chemicals & Fertilizers,5156.174954566,https://nsearchives.nseindia.com/corporate/NFL_02092025134526_signedNSEBRSR.pdf,02-Sep-2025,True,data\brsr_reports\NFL_National Fertilizers Ltd_BRSR.pdf,2273.4638671875
GHCL Ltd.,GHCL,Chemicals & Fertilizers,4991.5457508035,https://nsearchives.nseindia.com/corporate/GHCL_25062025230117_GHCL_BRSR_Report2025.pdf,25-Jun-2025,True,data\brsr_reports\GHCL_GHCL Ltd_BRSR.pdf,1153.6845703125
Epigral Ltd.,EPIGRAL,Chemicals & Fertilizers,4912.965656209,https://nsearchives.nseindia.com/corporate/MFL_16062025121036_BRSR16062025.pdf,16-Jun-2025,False,,0.0
Privi Speciality Chemicals Ltd.,PRIVISCL,Chemicals & Fertilizers,4578.917368027,https://nsearchives.nseindia.com/corporate/FAIRCHEMDP_05072025202124_LettertoBSEandNSEBRSRSigned.pdf,05-Jul-2025,True,data\brsr_reports\PRIVISCL_Privi Speciality Chemicals Ltd_BRSR.pdf,1008.4306640625
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,Chemicals & Fertilizers,4531.2009560975,https://nsearchives.nseindia.com/corporate/SUDARSCHEM_05092025202219_SEIntimationAnnualReportandAGMNoticeFY25.pdf,05-Sep-2025,True,data\brsr_reports\SUDARSCHEM_Sudarshan Chemical Industries _BRSR.pdf,9066.5068359375
NEOGEN CHEMICALS LTD.,NEOGEN,Chemicals & Fertilizers,3747.7980756035,https://nsearchives.nseindia.com/corporate/NEOGEN_03092025200022_BRSR03092025.pdf,03-Sep-2025,True,data\brsr_reports\NEOGEN_NEOGEN CHEMICALS LTD_BRSR.pdf,1191.6572265625
Sharda Cropchem Ltd.,SHARDACROP,Chemicals & Fertilizers,3501.924916714,https://nsearchives.nseindia.com/corporate/SHARDACROP_14072025122621_NSE.pdf,14-Jul-2025,True,data\brsr_reports\SHARDACROP_Sharda Cropchem Ltd_BRSR.pdf,1645.646484375
Styrenix Performance Materials Ltd.,STYRENIX,Chemicals & Fertilizers,2846.6810407775,https://nsearchives.nseindia.com/corporate/INEOSSTYRO_07082025235320_BRSR.pdf,07-Aug-2025,True,data\brsr_reports\STYRENIX_Styrenix Performance Materials_BRSR.pdf,1906.2412109375
Refex Industries Ltd.,REFEX,Chemicals & Fertilizers,1561.0666571275,https://nsearchives.nseindia.com/corporate/REFEX2002_26062025125717_RIL_23rdAGM_BRSR_sd.pdf,26-Jun-2025,True,data\brsr_reports\REFEX_Refex Industries Ltd_BRSR.pdf,3431.931640625
Swan Corp Ltd.,SWANCORP,Chemicals & Fertilizers,0.0,https://nsearchives.nseindia.com/corporate/SWANENERGY_06092025175240_BRSR_2024-2025.pdf,06-Sep-2025,True,data\brsr_reports\SWANCORP_Swan Corp Ltd_BRSR.pdf,996.150390625
