Company_Name,Sector,Sector_Original,Revenue_Cr
Firstsource Solutions Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2306.582094767114
Five-Star Business Finance Limited,Financial Services,Chemicals & Fertilizers,2847.9810676598386
Force Motors Ltd,Chemicals & Fertilizers,Chemicals & Fertilizers,8006.996466431095
Fortis Healthcare Limited,Pharmaceuticals,Chemicals & Fertilizers,0.0652803000006444
G R Infraprojects Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,6515.569856138938
GAIL India Limited,Oil & Gas,Chemicals & Fertilizers,0.0137287999999984
GALAXY SURFACTANTS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,3001.270149909052
GLAND PHARMA LIMITED,Pharmaceuticals,Pharmaceuticals,4116.148453996763
GLOBAL HEALTH LIMITED,Pharmaceuticals,Chemicals & Fertilizers,0.0369230999992284
GODAWARI POWER AND ISPAT LIMITED,Steel & Iron,Power Generation,4661.2446911217085
GODFREY PHILLIPS INDIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,6734.931158343508
GODREJ AGROVET LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,7009.065432627406
GRANULES INDIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,3027.766323024055
GRAPHITE INDIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,2420.0028250958626
GUJARAT GAS LIMITED,Oil & Gas,Chemicals & Fertilizers,17185.15741616735
Garden Reach Shipbuilders  Engineers Limited,Steel & Iron,Chemicals & Fertilizers,5075.917926565874
General Insurance Corporation of India,Financial Services,Chemicals & Fertilizers,41041.31313131314
Genus Power Infrastructures Limited,Power Generation,Power Generation,2441.987740805604
Gillette India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2234.8076472360804
GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,37236.12547397449
Glenmark Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,9226.387631000129
Go Digit General Insurance Limited,Financial Services,Chemicals & Fertilizers,10285.556451612903
Godrej Consumer Products Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,8910.149962136167
Godrej Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4171.218626468196
Godrej Properties Limited,Cement,Chemicals & Fertilizers,4922.888712452031
Grasim Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,31563.23406103302
Grindwell Norton Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2737.364302184991
Gujarat Ambuja Exports Limited,Cement,Chemicals & Fertilizers,4612.575564071764
Gujarat Fluorochemicals Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4564.545606165676
Gujarat Pipavav Port Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,987.6749688187112
Gujarat State Petronet Limited,Oil & Gas,Chemicals & Fertilizers,1110.7813639192675
HCL Technologies Limited,Information Technology,Information Technology,0.1170550000041057
