Company_Name,NOx Emissions,Particulate Matter Emissions,Plastic Waste Generated,SOx Emissions,Water Recycling %
Dixon Technologies India Limited,24.28,126.18,351.1,16.01,1.0235e-06
Dr Reddys Laboratories Limited,155.66,100.12,450.37,209.67,6.0446821611
EICHER MOTORS LIMITED,0.0,0.0,503.6,0.0,12.3552282584
EIH Limited,100.0,40.0,587.87,27.0,957.0388057525
ESAB India Limited,19.08,48.14,39.31,11.99,0.4865632304
Easy Trip Planners Limited,,,0.0,,3.6783e-06
Electronics Mart India Limited,,,1.5,,1.1756e-06
Electrosteel Castings Limited,353.73,510.82,86.0,438.66,5.3321649762
Elgi Equipments Limited,0.0,0.0,61.34,0.0,2.2981e-06
Emami Limited,0.06,2.09,13262.0,8.76,6.1487e-06
Endurance Technologies Limited,27.76,11.52,525.77,9.66,8.4625e-06
Engineers India Limited,0.04,0.08,0.0,0.02,3.3858e-06
Equitas Small Finance Bank Limited,,,0.0,,0.0005438926
Eris Lifesciences Limited,67.0,414.0,28.34,41.0,1.1496e-06
Escorts Kubota Limited,13.57,25.52,104.8,1.45,2.7811e-06
Eureka Forbes Limited,17.12,8.47,9.76,8.69,0.7766633197
Exide Industries Limited,20.98,14.41,1319.4,15.55,7e-10
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,5.79,408.0,18.82,177.1,0.0002084758
FINE ORGANIC INDUSTRIES LIMITED,4.72,1.42,35.35,0.66,7.5433e-06
Finolex Cables Limited,43.63,208.21,630.31,10.5,5.3665e-06
Finolex Industries Limited,21.87,23.18,3312.43,28.5,5.57368e-05
Firstsource Solutions Limited,100.46,20.51,0.0,152.78,6.931e-07
Five-Star Business Finance Limited,,,0.0,,0.0
Force Motors Ltd,3.8,7.4,567.0,1.8,5.5373e-06
Fortis Healthcare Limited,24.13,87.72,0.0,12.96,1.3862009519
G R Infraprojects Limited,26.37,83.69,250.36,9.05,1.61429e-05
GAIL India Limited,1049.0,250.0,316.65,618.0,152.6335513665
GALAXY SURFACTANTS LIMITED,12.43,8.71,398.0,8.3,1.08504e-05
GLAND PHARMA LIMITED,49.8,40.8,2.5,38.2,1.27476e-05
GLOBAL HEALTH LIMITED,182.61,24.99,34.99,47.5,1.4516413844
GODAWARI POWER AND ISPAT LIMITED,910.88,536.83,7.09,2348.81,7.55247e-05
GODFREY PHILLIPS INDIA LIMITED,1051.0,4237.0,21.7,383.0,1.1338e-06
GODREJ AGROVET LIMITED,289.98,254.55,3101.98,110.74,1.14815e-05
GRANULES INDIA LIMITED,59.55,72.34,873.4,175.0,7.1555e-06
GRAPHITE INDIA LIMITED,42505.0,45556.0,313.2,25742.0,7.7342e-06
GUJARAT GAS LIMITED,50.0,150.0,37.9,100.0,4.792e-07
Garden Reach Shipbuilders  Engineers Limited,,,0.0,,2.32213e-05
General Insurance Corporation of India,,,0.0,,1.44e-08
Genus Power Infrastructures Limited,6.0,34.0,452.04,2.0,1.7508e-06
Gillette India Limited,165.9,37.3,130.19,45.03,1.1854e-06
GlaxoSmithKline Pharmaceuticals Limited,14.81,17.3,32.83,6.93,2.06e-07
Glenmark Pharmaceuticals Limited,120.0,71.0,276.0,9.0,5.4954e-06
Go Digit General Insurance Limited,,,0.51,,1.255e-07
Godrej Consumer Products Limited,21.0,14.0,1340.4,1.0,5.6521e-06
Godrej Industries Limited,78.8,84.5,125.0,52.1,2.22014e-05
Godrej Properties Limited,0.17,0.17,0.0,0.71,8.3128e-06
Grasim Industries Limited,2032.09,1000.14,1792.22,7387.54,8.92951e-05
Grindwell Norton Limited,18.0,44.0,9.0,11.0,6.1681e-06
Gujarat Ambuja Exports Limited,1315.0,980.0,614.43,1495.0,5.18691e-05
Gujarat Fluorochemicals Limited,98.0,74.0,302.0,86.0,8.08268e-05
Gujarat Pipavav Port Limited,45.0,13.38,1.76,20.73,9.96306e-05
Gujarat State Petronet Limited,50.0,150.0,0.63,100.0,3.495e-06
HCL Technologies Limited,2.52,0.38,10.73,0.19,0.7124967665
HDFC Asset Management Company Limited,,,0.0,,6.3764461711
HDFC Bank Limited,308.25,9.63,105.91,24.32,1.504e-07
HDFC Life Insurance Company Limited,,,0.1,,7.03e-07
HEG Limited,51.39,145.47,249.9,149.15,1.83224e-05
HERO MOTOCORP LIMITED,14.5,9.9,1617.0,1.1,1.925e-06
HFCL Limited,0.06,0.02,521.0,0.56,4.3687e-06
HINDALCO INDUSTRIES LIMITED,42050.0,14860.0,2288.81,87040.0,8.01577e-05
HINDUSTAN AERONAUTICS LIMITED,58.88,139.05,30.54,31.28,4.73874e-05
HINDUSTAN COPPER LIMITED,19.57,37.95,10.55,11.64,0.0005415296
HONEYWELL AUTOMATION INDIA LIMITED,0.0,48.5,5.92,2.3,7.747e-07
Happiest Minds Technologies Limited,26.7,36.3,0.0,11.2,4.8346e-06
Happy Forgings Limited,28.6,63.3,0.0,13.1,1.84728e-05
Havells India Limited,24.85,0.0,2298.52,5.08,12.383731785
Himadri Speciality Chemical Limited,21.63,30.53,145.76,19.74,2.27783e-05
Hindustan Petroleum Corporation Limited,1605.0,429.0,137.9,4326.0,4.2701e-06
Hindustan Unilever Limited,278.0,278.0,12531.0,132.0,46.7793943138
Hindustan Zinc Limited,6606.0,1247.0,9.0,26753.0,7.62197e-05
Hitachi Energy India Limited,,,77.0,,5.7601e-06
Home First Finance Company India Limited,,,0.0,,1.406e-07
Honasa Consumer Limited,,,0.0,,2.3e-08
ICICI Bank Limited,,,0.0,,4.559e-07
ICICI Lombard General Insurance Company Limited,,,0.0,,6.6e-07
ICICI Prudential Life Insurance Company Limited,,,0.0,,2.237e-07
IDBI Bank Limited,,,4.3,,9.846538094
IDFC FIRST Bank Limited,,,2.35,,3.153e-07
IFCI Limited,,,0.0,,5.71e-08
IIFL Finance Limited,,,1.07,,2.334e-06
INDIAMART INTERMESH LIMITED,,,2.51,,1.5642e-06
INDIAN OVERSEAS BANK,,,0.38,,7.424e-07
INDIAN RAILWAY FINANCE CORPORATION LIMITED,,,0.0,,1.8e-09
INOX India Limited,15.9,54.03,0.0,9.0,8.4273e-06
INTELLECT DESIGN ARENA LIMITED,180.5,44.2,7.567,43.2,2.0398e-06
IRB Infrastructure Developers Limited,16.25,84.67,33.01,18.39,1.77402e-05
ISGEC Heavy Engineering Limited,28.4,43.5,12.4,10.0,3.1268e-06
ITC Limited,2064.0,553.0,0.0,2287.0,1.4127e-05
Indegene Limited,48.0,68.6,0.4175,36.4,2.412e-07
Indian Bank,,,3.9,,1.766e-07
Indian Energy Exchange Limited,,,0.0,,1.085e-07
Indian Oil Corporation Limited,20429.0,2955.0,780.0,27275.0,1.80867e-05
Indian Renewable Energy Development Agency Limited,,,0.0,,4.18e-08
Indus Towers Limited,5233.0,273.0,14.0,0.0,1.1114e-06
IndusInd Bank Limited,,,0.0,,4.102e-07
Infibeam Avenues Limited,,,0.0,,0.0
Infosys Limited,40286.0,4423.0,118.91,873.0,1.1998e-06
Inox Wind Limited,0.0,0.0,0.0,0.0,1.2233e-06
InterGlobe Aviation Limited,50359.88,1558.16,1457.53,1670.35,1.11e-07
Ion Exchange India Limited,23.63,51.16,0.035,18.04,4.1173e-06
Ipca Laboratories Limited,37.14,59.28,1339.0,44.16,0.0001504514
Ircon International Limited,21.8,101.95,0.0,13.26,3.76149e-05
JAI BALAJI INDUSTRIES LIMITED,73.0,133.0,0.0,192.0,2.26015e-05
JAIPRAKASH POWER VENTURES LIMITED,16996.0,2751.0,0.196,79386.0,0.0004829043
JBM Auto Limited,25.21,44.39,754.77,70.1,6.3278e-06
JINDAL STEEL  POWER LIMITED,21.49,0.59,85.0,1.01,0.0
JK CEMENT LIMITED,11182.0,778.0,1341.0,1583.0,2.607e-05
JK LAKSHMI CEMENT LIMITED,5230.0,620.0,108.85,1019.0,1.82778e-05
JK Tyre  Industries Limited,54.9,109.1,1568.7,18.36,54.5652509303
JM Financial Limited,,,0.0,,4e-10
JSW Energy Limited,23191.03,3275.01,151.73,37815.2,0.0002722284
JSW Infrastructure Limited,0.03,0.07,74.5947,0.01,1.09559e-05
JSW Steel Limited,25844981.41,8764819.78,591.05,3730666.81,4.23703e-05
JUBILANT INGREVIA LIMITED,649.0,187.0,105.39,668.0,7.15751e-05
JYOTHY LABS LIMITED,20.55,35.63,759.0,12.08,8.0376e-06
JYOTI CNC AUTOMATION LIMITED,9.55,2.6,1.0,0.6,8.61e-07
Jindal Saw Limited,30.53,40.56,146.0,34.22,3.26923e-05
Jindal Stainless Limited,2527.48,1601.47,1485.66,4580.69,3.58664e-05
Jio Financial Services Limited,,,0.116,,2.249e-07
Jubilant FoodWorks Limited,75.7,31.6,137.37604,14.5,2.2485e-06
Jubilant Pharmova Limited,1.2,0.65,43.32,0.43,7.3664e-06
Juniper Hotels Limited,50.0,50.0,48.61,50.0,5.9368667413
Jupiter Life Line Hospitals Limited,6.82,1.5,10.63,1.68,1.70857e-05
Jupiter Wagons Limited,15.03,45.73,150.15,11.82,4.0827e-06
Just Dial Limited,,,0.0,,0.0
KARUR VYSYA BANK LIMITED,,,0.0,,2.1283231328
KEC International Limited,14.0,15.0,65.6,5.0,7.9219e-06
KEI INDUSTRIES LIMITED,0.09,0.12,467.42,0.03,1.0536e-06
KFin Technologies Limited,183.0,45.8,0.0,31.2,7.224e-07
KIOCL Limited,0.0,1958.0,3.43,0.0,8.06005e-05
KNR Constructions Limited,13.03,0.0,11.0,11.23,0.000162753
KOTAK MAHINDRA BANK LIMITED,,,12.6,,1.776e-07
KPI GREEN ENERGY LIMITED,,,0.0,,9.73e-08
KPIT Technologies Limited,0.0,6.07,0.784,3.71,1e-10
KPR MILL LIMITED,20.47,35.4,746.12,12.4,2.24626e-05
KSB Limited,14.9,335.43,29.1,65.78,8.0779e-06
Kajaria Ceramics Limited,0.0,0.0,1783.69,0.0,3.2869e-05
Kalpataru Projects International Limited,31.0,43.0,138.4,27.0,1.74628e-05
Kalyan Jewellers India Limited,,,0.0,,8.999e-07
Kansai Nerolac Paints Limited,22.0,33.0,1025.0,14.0,0.0
Kaynes Technology India Limited,131.07,37.79,78.07,18.46,4.0762e-06
Keystone Realtors Limited,56.86,33.77,0.21,153.97,0.0001240852
Kirloskar Brothers Limited,1.8,37.5,18.8,0.72,8.7628e-06
Kirloskar Oil Engines Limited,8.09,77.43,5.99,2.18,
Krishna Institute of Medical Sciences Limited,16.74,36.4,0.0,19.99,2.24645e-05
LAURUS LABS LIMITED,229.0,132.0,495.0,590.0,1.94872e-05
LIC Housing Finance Limited,,,0.0,,1.094e-07
LT Finance Limited,51.6,64.4,0.0,41.2,2.86e-06
LT Technology Services Limited,209.4,144.4,0.9,65.7,2.1042e-06
LTIMindtree Limited,52.0,60.0,43.11,14.0,9.52e-07
Larsen  Toubro Limited,46.0,81.0,818.0,86.0,108.2857573908
Latent View Analytics Limited,457.72,0.0,2.32,86.1,1.142e-06
Lemon Tree Hotels Limited,,,0.26,,6.82579e-05
Life Insurance Corporation of India,,,920.0,,2.593e-07
Linde India Limited,0.0,0.0,10.3,0.0,0.0001224943
Lloyds Metals and Energy Limited,1319.54,214.26,17.78,2348.86,2.18198e-05
Lupin Limited,145.8,0.0,3041.0,50.1,1.01118e-05
MACROTECH DEVELOPERS LIMITED,0.08,0.06,69.5,0.08,7.0148e-06
MAHARASHTRA SCOOTERS LIMITED,,,0.0,,0.0
MANKIND PHARMA LIMITED,68.37,98.98,9256.05,37.28,43.6060561393
MAX HEALTHCARE INSTITUTE LIMITED,1.19,0.18,0.0,0.13,0.0001522082
MMTC LIMITED,,,0.0,,0.0
MOIL Limited,0.0,0.0,10.01,0.0,5.88693e-05
MRF Limited,89.62,40.04,3120.0,105.51,111.4890103892
MUTHOOT FINANCE LIMITED,,,0.0,,0.0
Mahanagar Gas Limited,69.25,1.22,18.59,0.02,6.646e-07
Maharashtra Seamless Limited,38.0,54.0,21.06,43.0,1.02452e-05
Mahindra  Mahindra Financial Services Limited,54.44,14.44,0.02,0.0,5.16e-08
Mahindra  Mahindra Limited,14.15,13.2,8067.0,9.8,2.4727e-06
Mahindra Holidays  Resorts India Limited,,,6.35,,9.09812e-05
Mahindra Lifespace Developers Limited,5.87,0.3,298.77,0.0,2.25269e-05
Man Infraconstruction Limited,5216.35,221.12,0.0,0.0,5.0993e-06
Manappuram Finance Limited,,,0.66,,3.128e-07
Marico Limited,2680.96,1734.51,555.014,175.67,19.0818097876
Maruti Suzuki India Limited,265.61,77.24,2706.0,488.83,1.4014e-06
Mastek Limited,43.16,43.69,0.0,9.38,4.95e-08
Max Financial Services Limited,,,0.0,,0.06234106
Mazagon Dock Shipbuilders Limited,0.0,0.0,161.0,0.0,6.772e-07
MedPlus Health Services Limited,,,60.81,,0.0848476077
Metro Brands Limited,,,90.198,,8.391e-07
Metropolis Healthcare Limited,,,11.507,,28.6888174113
Minda Corporation Limited,65.03,47.25,553.1,22.5,8.3325e-06
Mishra Dhatu Nigam Limited,138.7,34.4,0.0,66.9,1.90282e-05
Motherson Sumi Wiring India Limited,13.4,2.67,2031.21,1.33,7.2055926347
Motilal Oswal Financial Services Limited,,,0.0,,
Mphasis Limited,,,1.76,,0.8411887029
NATCO Pharma Limited,44.21,26.52,16.359,45.55,7.3116e-06
NAVA LIMITED,3394.0,691.03,0.0,4663.96,0.0002760155
NBCC India Limited,,,0.34,,1.97e-07
NCC LIMITED,,,65.46,,137.0406619944
NETWEB TECHNOLOGIES INDIA LIMITED,0.0,0.0,6.0,0.0,5.496e-07
NHPC Limited,3619.0,450.0,4.0,1652.0,1.87518e-05
NLC India Limited,222.0,41.0,109.96,1166.0,0.0006754874
NMDC Limited,17.9,72.4,0.0,14.5,3.90613e-05
NMDC Steel Limited,10682.0,3103.0,0.0,15230.0,1.0417438449
NTPC LIMITED,621791.0,83599.0,330.58,1605071.0,0.0006140534
NUVAMA WEALTH MANAGEMENT LIMITED,,,0.0,,4.85e-07
Narayana Hrudayalaya Ltd,272.98,198.71,18.89,167.89,2.35684e-05
Navin Fluorine International Limited,18.76,9.65,92.75,15.87,4.47557e-05
Nestle India Limited,211911.0,0.0,2657.0,806382.0,1.32774e-05
Neuland Laboratories Limited,26.02,35.7,3.11,70.14,9.5861e-06
Newgen Software Technologies Limited,147.26,25.33,3.44,9.76,1.7768e-06
Nippon Life India Asset Management Limited,,,4.77,,2.643e-07
Nuvoco Vistas Corporation Limited,8779.0,931.0,460.7,1215.0,2.66249e-05
Oberoi Realty Limited,0.01,0.01,177.69,0.0,2.2959e-06
Oil India Limited,22.14,69.63,64.0,7.71,1.31191e-05
Olectra Greentech Limited,23.1,58.7,2.7,27.7,8.514e-07
One 97 Communications Limited,0.18,0.03,0.02,0.0,6.779e-07
Oracle Financial Services Software Limited,0.87,0.03,0.34,0.08,6.305e-07
PATANJALI FOODS LIMITED,94.0,74.0,928.0,94.0,8.575e-06
PB FINTECH LIMITED,1.63,0.23,0.0,0.0,2.0780718515
PI INDUSTRIES LIMITED,76.77,59.98,587.8,25.6,8.226e-06
PNB Housing Finance Limited,,,0.0,,3.5848363577
PNC Infratech Limited,38.1,12.02,39.53,7.33,6.77071e-05
POLY MEDICURE LIMITED,225.47,64.89,1408.54,8.84,4.7522e-06
PTC Industries Limited,126.2,64.3,32.94,12.6,3.3087e-06
PUNJAB NATIONAL BANK,,,6.03,,8.935e-07
PVR INOX LIMITED,143.0,32.33,0.0575,76.07,1.85394e-05
Page Industries Limited,1.7,3.1,237.02,0.67,3.224e-07
Persistent Systems Limited,31.95,26.88,4.6,27.95,0.6494317605
Petronet LNG Limited,41.83,52.96,0.0,30.8,3.748e-07
Pfizer Limited,700.2,10.1,45.86,0.07,1.5454e-06
Pidilite Industries Limited,20809.0,30073.0,1112.9,12593.0,4.2605e-06
Piramal Enterprises Limited,,,0.0,,17.0762798017
Piramal Pharma Limited,,,380.5,,9.4598e-06
Polycab India Limited,23.4,68.4,4654.0,27.0,12.8146762196
Poonawalla Fincorp Limited,,,0.0,,70.4142946453
Power Finance Corporation Limited,,,0.0,,1.15e-08
Power Grid Corporation of India Limited,,,5.831,,34.7713109971
Power Mech Projects Limited,,,0.0,,2.368e-07
Praj Industries Limited,165.0,465.0,20.12,106.0,1.5459e-06
Prestige Estates Projects Limited,74.26,46.16,57.41,14.91,7.9593e-06
Prism Johnson Limited,3619.0,428.0,72.28,1899.0,2.41883e-05
Procter  Gamble Health Limited,7.62,65.21,21.96,3.83,6.199e-06
Punjab  Sind Bank,117.0,9.0,0.0,0.0,1.336e-07
Quess Corp Limited,,,0.0,,3.045e-07
R R Kabel Limited,26.98,54.16,93.62,29.68,7.1081893501
RAJESH EXPORTS LIMITED,,,0.0,,0.0
RATTANINDIA ENTERPRISES LIMITED,,,0.0,,0.0
RBL Bank Limited,,,0.0,,3.438e-07
REC Limited,0.01,0.0,0.0,0.0,3.58e-08
RELIANCE POWER LIMITED,46602.45,7080.64,0.57,150827.17,0.0009757461
RHI Magnesita India Ltd,70.26,52.5,291.24,16.47,2.462e-06
RITES Limited,122.91,19.08,0.0,9.31,10.7511537672
Radico Khaitan Limited,60887.0,47077.0,202.54,71766.0,7.6012e-06
Rail Vikas Nigam Limited,,,0.0,,1.558e-07
Railtel Corporation of India Limited,,,0.0,,2.748e-07
Ramkrishna Forgings Limited,34.5,88.4,0.0,20.5,9.5098e-06
RateGain Travel Technologies Limited,31.8,94.4,0.0,20.5,1.27761e-05
Ratnamani Metals  Tubes Limited,0.0,0.0,172.16,0.0,5.5382e-06
Raymond Limited,23.4,101.79,18.24,14.73,0.3179705398
Redington Limited,21.6,90.55,12.64,10.35,3.07e-08
Redtape Limited,267.7,41.3,0.0,29.4,9.255e-06
Relaxo Footwears Limited,18.0,0.35,201.77,0.08,9.0139e-06
Reliance Industries Limited,33972.0,1132.0,3689.0,14116.0,3.74155e-05
Reliance Infrastructure Limited,0.0,0.0,112.45,0.0,1.3203e-06
Responsive Industries Limited,,,0.0,,0.0
Route Mobile Limited,,,0.24913,,4.473e-07
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,3414.0,0.0,33099.0,0.0,1.7166e-06
SAPPHIRE FOODS INDIA LIMITED,0.0,0.0,0.0,0.0,6.7571e-06
SARDA ENERGY  MINERALS LIMITED,7.82,0.99,1.0,13.63,0.0002394918
SAREGAMA India Limited,0.0,0.11,7.8,0.0,4.344e-07
SBFC Finance Limited,,,1.92,,3.722e-07
SBI Cards and Payment Services Limited,,,2.197,,1.401e-07
SBI Life Insurance Company Limited,,,0.14,,4.2e-08
SHIPPING CORPORATION OF INDIA LIMITED,25266.0,663.0,197.65,3075.0,0.3404350244
