Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity,Scope3_Biodiversity_MSA,Exiobase_Sector,Factor_Used,Sector_Original,Revenue_INR,Revenue_Million_EUR,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
BAJAJ ELECTRICALS LIMITED,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,48282987302.676735,1.1184063583614745e-08,26.82388183482041,Other business activities,0.05,Chemicals & Fertilizers,48282987302.676735,536.4776366964081,0.04999999990679947,0.5555555440493175,209.0,209.0
BANK OF INDIA,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,798157766778.279,5.262117559731423e-12,44.34209815434883,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,798157766778.279,8868.419630869766,0.004999999999436201,0.05555555548595082,157.0,436.0
BANK OF MAHARASHTRA,Financial Services,Ahmedabad,Gujarat,0.51,0.01,0.0051,Tier 2,75%,284006628819.50244,1.795732733844482e-11,15.778146045527913,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,284006628819.50244,3155.6292091055825,0.004999999998415531,0.055555555359941965,264.0,447.0
BASF India Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,151623751271.3301,4.352880036709635e-09,84.23541737296118,Other business activities,0.05,Chemicals & Fertilizers,151623751271.3301,1684.7083474592234,0.04999999997032127,0.5555555518915152,100.0,129.0
BATA INDIA LIMITED,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,34881348036.885635,2.1329450892013973e-08,19.378526687158686,Other business activities,0.05,Chemicals & Fertilizers,34881348036.885635,387.5705337431737,0.04999999987099123,0.5555555396285468,243.0,237.0
BEML Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,38392299959.09212,1.5003008431736083e-08,21.329055532828956,Other business activities,0.05,Chemicals & Fertilizers,38392299959.09212,426.5811106565791,0.049999999882789005,0.5555555410850618,234.0,229.0
BHARAT ELECTRONICS LIMITED,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,23658.00999990466,0.0263758447985487,1.3143338888835925e-05,Other business activities,0.05,Chemicals & Fertilizers,23658.00999990466,0.00026286677777671846,0.049810510438558095,0.5330251260700577,453.0,398.0
BHARAT HEAVY ELECTRICALS LIMITED,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,283394464158.2102,2.4559407046548554e-09,157.44136897678345,Other business activities,0.05,Chemicals & Fertilizers,283394464158.2102,3148.827379535669,0.04999999998412107,0.5555555535951943,70.0,112.0
BLS International Services Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,1384905799.234619,3.899182170357263e-07,0.7693921106858994,Other business activities,0.05,Chemicals & Fertilizers,1384905799.234619,15.387842213717988,0.04999999675068174,0.5555551544054161,406.0,370.0
Bajaj Auto Limited,Automobile,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,500103104169.4617,1.0077921848475823e-09,555.6701157438464,Construction,0.1,Chemicals & Fertilizers,500103104169.4617,5556.701157438463,0.09999999998200372,1.1111111088893473,25.0,68.0
