Company_Name,NSE_Symbol,BSE_Code,Sector,Market_Cap_Cr,BRSR_PDF_URL,BRSR_XBRL_URL,Submission_Date,Has_BRSR,Priority,Data_Source_Expected,Source,Revenue_Cr,Website
Central Bank of India,CENTRALBK,,Financial Services,53531.68349,https://nsearchives.nseindia.com/corporate/CENTRALBK_07072025191101_Final_SE_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1478347_07072025071110_WEB.xml,07-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
JSW Infrastructure Limited,JSWINFRA,,Services,52229.00239,https://nsearchives.nseindia.com/corporate/GAZAL786_23062025142536_SEBRSR_Report.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1469559_23062025022545_WEB.xml,23-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
TATA COMMUNICATIONS LIMITED,TATACOMM,,Telecommunication,51990.93963,https://nsearchives.nseindia.com/corporate/TATACOMM_16062025223319_18197B.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467345_16062025103334_WEB.xml,16-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Aditya Birla Capital Limited,ABCAPITAL,,Financial Services,51957.86465,https://nsearchives.nseindia.com/corporate/ABCAPITAL_22072025215530_BRSR_2024_25_Signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1490887_22072025095545_WEB.xml,22-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
THE PHOENIX MILLS LIMITED,,,,51693.08471,https://nsearchives.nseindia.com/corporate/PHOENIXLTD4_06092025175235_PML_BRSR_06092025_sd.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524399_06092025055308_WEB.xml,06-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
PB FINTECH LIMITED,POLICYBZR,,Financial Services,50884.12189,https://nsearchives.nseindia.com/corporate/POLICYBZR_09092025204636_SubmissionofrevisedBRSR09092025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525512_09092025084650_WEB.xml,04-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Mazagon Dock Shipbuilders Limited,,,,49947.06092,https://nsearchives.nseindia.com/corporate/MAZDOCK_28082025231227_SE_Disclosure_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1518943_28082025111240_WEB.xml,28-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Balkrishna Industries Limited,BALKRISIND,,Automobile and Auto Components,49899.87393,https://nsearchives.nseindia.com/corporate/BALKRISIND_04072025192357_BRSRnewfsigned.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477538_04072025072416_WEB.xml,04-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Bharti Hexacom Limited,BHARTIHEXA,,Telecommunication,49612.5,https://nsearchives.nseindia.com/corporate/HexacomApril20_25072025221226_BHL_BRSR_STX.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1494194_25072025102314_WEB.xml,25-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Thermax Limited,THERMAX,,Capital Goods,49474.51435,https://nsearchives.nseindia.com/corporate/THERMAXNSE_05072025160145_SEIntimationBRSR2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477745_05072025040208_WEB.xml,05-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
UNITED BREWERIES LIMITED,UBL,,Fast Moving Consumer Goods,49056.45231,https://nsearchives.nseindia.com/corporate/UBLSJR_14072025215702_IntimationBRSRFY2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482607_14072025095828_WEB.xml,14-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
SJVN Limited,SJVN,,Power,48998.82686,https://nsearchives.nseindia.com/corporate/SJVN_01092025180248_brsr.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1520838_01092025060307_WEB.xml,01-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,,,,48629.48423,https://nsearchives.nseindia.com/corporate/FACT_26092025165802_BRSR---2024-25_2523.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1534100_26092025045822_WEB.xml,26-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Tata Elxsi Limited,TATAELXSI,,Information Technology,47334.29679,https://nsearchives.nseindia.com/corporate/TELNSE_19062025144340_TELBRSRFY25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468397_19062025024403_WEB.xml,19-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
ACC Limited,ACC,,Construction Materials,47113.4884,https://nsearchives.nseindia.com/corporate/ACC_1_13062025170440_ACC_BRSR_2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466451_13062025050528_WEB.xml,13-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Dixon Technologies (India) Limited,DIXON,,Consumer Durables,46762.41395,https://nsearchives.nseindia.com/corporate/DIXON_01092025235419_Binder1.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521118_01092025115448_WEB.xml,01-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Mphasis Limited,MPHASIS,,Information Technology,46668.87224,https://nsearchives.nseindia.com/corporate/MPHASIS_01072025191435_SubmissionofBRSR2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476052_01072025071518_WEB.xml,01-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
SUNDARAM FINANCE LIMITED,SUNDARMFIN,,Financial Services,46642.7418,https://nsearchives.nseindia.com/corporate/SUNDARMFIN_27062025200618_BRSR_PDF.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473780_27062025080707_WEB.xml,27-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
AU Small Finance Bank Limited,AUBANK,,Financial Services,44741.40683,https://nsearchives.nseindia.com/corporate/AUBANK_16072025204305_Annual_Report_Disclosure.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484830_16072025084625_WEB.xml,16-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Tata Technologies Limited,TATATECH,,Information Technology,43931.34576,https://nsearchives.nseindia.com/corporate/TTLNSE_18062025203520_Business_Responsibility_and_Sustainability_Reporting_FY_24-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468286_18062025084101_WEB.xml,18-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Indian Renewable Energy Development Agency Limited,IREDA,,Financial Services,43329.28001,https://nsearchives.nseindia.com/corporate/IREDAEQ_14072025171302_SignedSENoticeintimation.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482260_14072025051313_WEB.xml,14-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
BANK OF MAHARASHTRA,MAHABANK,,Financial Services,43268.80495,https://nsearchives.nseindia.com/corporate/MAHABANK_08062025202100_LettertoSE_BRSR_202425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1464397_08062025082113_WEB.xml,08-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Uno Minda Limited,UNOMINDA,,Automobile and Auto Components,42815.23722,https://nsearchives.nseindia.com/corporate/MINDAIND1_14072025151936_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482036_14072025031956_WEB.xml,14-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
APL Apollo Tubes Limited,APLAPOLLO,,Capital Goods,42624.44499,https://nsearchives.nseindia.com/corporate/APLAPOLLO_22082025165426_BRSRFinal.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1516223_22082025045554_WEB.xml,22-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Petronet LNG Limited,PETRONET,,Oil Gas & Consumable Fuels,42437.86834,https://nsearchives.nseindia.com/corporate/PETRONET_30082025110848_IntimationSEBRSRsigned.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1519852_30082025110902_WEB.xml,30-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
KPIT Technologies Limited,KPITTECH,,Information Technology,41379.40011,https://nsearchives.nseindia.com/corporate/KPITTECH_11072025105357_KPITBRSR2425_Signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1480569_11072025105900_WEB.xml,11-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
L&T Finance Limited,LTF,,Financial Services,41246.3987,https://nsearchives.nseindia.com/corporate/naguiyer_09052025204807_NSEBSEINTIMATION.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1435388_09052025085041_WEB.xml,09-May-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
