Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,XBRL_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
Pidilite Industries Ltd.,PIDILITIND,Chemicals & Fertilizers,146204.9756783405,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1480946_11072025042536_WEB.xml,11-Jul-2025,True,data\brsr_xbrl\PIDILITIND_Pidilite Industries Ltd_BRSR.xml,862.5068359375
Solar Industries India Ltd.,SOLARINDS,Chemicals & Fertilizers,73755.542429169,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473867_27062025095923_WEB.xml,27-Jun-2025,True,data\brsr_xbrl\SOLARINDS_Solar Industries India Ltd_BRSR.xml,782.7197265625
SRF Ltd.,SRF,Chemicals & Fertilizers,71289.831696779,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467807_18062025092444_WEB.xml,18-Jun-2025,True,data\brsr_xbrl\SRF_SRF Ltd_BRSR.xml,738.009765625
Linde India Ltd.,LINDEINDIA,Chemicals & Fertilizers,59459.198419865,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1509840_12082025054336_WEB.xml,12-Aug-2025,True,data\brsr_xbrl\LINDEINDIA_Linde India Ltd_BRSR.xml,768.361328125
PI Industries Ltd.,PIIND,Chemicals & Fertilizers,54823.477577136495,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1489695_21072025075954_WEB.xml,21-Jul-2025,True,data\brsr_xbrl\PIIND_PI Industries Ltd_BRSR.xml,860.4228515625
UPL Ltd.,UPL,Chemicals & Fertilizers,38700.190577629,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476927_03072025055507_WEB.xml,03-Jul-2025,True,data\brsr_xbrl\UPL_UPL Ltd_BRSR.xml,793.1552734375
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals & Fertilizers,37426.891031504,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1523042_04092025064051_WEB.xml,04-Sep-2025,True,data\brsr_xbrl\FLUOROCHEM_Gujarat Fluorochemicals Ltd_BRSR.xml,802.029296875
Coromandel International Ltd.,COROMANDEL,Chemicals & Fertilizers,35301.956243875,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476674_02072025104057_WEB.xml,02-Jul-2025,True,data\brsr_xbrl\COROMANDEL_Coromandel International Ltd_BRSR.xml,839.712890625
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals & Fertilizers,31631.0404687745,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1491834_23072025100242_WEB.xml,23-Jul-2025,True,data\brsr_xbrl\DEEPAKNTR_Deepak Nitrite Ltd_BRSR.xml,809.498046875
Tata Chemicals Ltd.,TATACHEM,Chemicals & Fertilizers,27257.52139647,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470102_24062025123403_WEB.xml,24-Jun-2025,True,data\brsr_xbrl\TATACHEM_Tata Chemicals Ltd_BRSR.xml,953.2001953125
Aarti Industries Ltd.,AARTIIND,Chemicals & Fertilizers,24148.151656029,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1499783_31072025104656_WEB.xml,31-Jul-2025,True,data\brsr_xbrl\AARTIIND_Aarti Industries Ltd_BRSR.xml,772.818359375
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals & Fertilizers,20250.540754667494,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1478782_08072025050404_WEB.xml,08-Jul-2025,True,data\brsr_xbrl\SUMICHEM_Sumitomo Chemical India Ltd_BRSR.xml,696.93359375
Atul Ltd.,ATUL,Chemicals & Fertilizers,18213.308218279,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481445_12072025113307_WEB.xml,12-Jul-2025,True,data\brsr_xbrl\ATUL_Atul Ltd_BRSR.xml,844.24609375
Vinati Organics Ltd.,VINATIORGA,Chemicals & Fertilizers,17276.5703040285,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521178_02092025114056_WEB.xml,02-Sep-2025,True,data\brsr_xbrl\VINATIORGA_Vinati Organics Ltd_BRSR.xml,645.859375
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals & Fertilizers,16376.796182397,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1479744_09072025110841_WEB.xml,09-Jul-2025,True,data\brsr_xbrl\NAVINFLUOR_Navin Fluorine International L_BRSR.xml,802.04296875
Himadri Speciality Chemical Ltd.,HSCL,Chemicals & Fertilizers,16354.26207228,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1444402_20052025053743_WEB.xml,20-May-2025,True,data\brsr_xbrl\HSCL_Himadri Speciality Chemical Lt_BRSR.xml,777.3046875
BASF India Ltd.,BASF,Chemicals & Fertilizers,16035.4119488705,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481950_14072025015831_WEB.xml,14-Jul-2025,True,data\brsr_xbrl\BASF_BASF India Ltd_BRSR.xml,735.6728515625
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals & Fertilizers,15827.214478971498,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1500873_02082025122656_WEB.xml,02-Aug-2025,True,data\brsr_xbrl\CHAMBLFERT_Chambal Fertilizers  Chemicals_BRSR.xml,777.640625
Clean Science and Technology Ltd.,CLEAN,Chemicals & Fertilizers,14706.6505548965,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1509956_12082025061220_WEB.xml,12-Aug-2025,True,data\brsr_xbrl\CLEAN_Clean Science and Technology L_BRSR.xml,695.927734375
