Company_Name,Revenue_INR,XBRL_Tag,Unit,Decimals,Source,FY_Year,Confidence,Candidates_Found,Revenue_Cr
Britannia Industries Limited,194048130470.63,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,19404.813047063002
Campus Activewear Limited,15929387161.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,1592.9387161
Canara Bank,1422078700000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,142207.87
Can Fin Homes Limited,50674936810.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,5067.493681
Caplin Point Laboratories Limited,19212272064.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,11,1921.2272064
Capri Global Capital Limited,7752995650000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,775299.565
Carborundum Universal Limited,29981254784.53,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,2998.1254784529997
Castrol India Limited,53648448184.42,Turnover,INR,2,BRSR XBRL,2023-24,High,11,5364.844818441999
CCL Products India Limited,17179971000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,1717.9971
CEAT Limited,131716537676.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,7,13171.6537676
Cello World Limited,11379559000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,10,1137.9559
Central Bank of India,395200000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,1,39520.0
Century Plyboards India Limited,42796810638.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,8,4279.6810638
CERA Sanitaryware Limited,19152512000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,8,1915.2512
CESC Limited,97648600000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,6,9764.86
CE INFO SYSTEMS LIMITED,3156100000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,1,315.61
CG Power and Industrial Solutions Limited,760990875449.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,11,76099.0875449
Chalet Hotels Limited,,,,,BRSR XBRL,2023-24,Not Found,0,
Chemplast Sanmar Limited,24087400000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,11,2408.74
CHENNAI PETROLEUM CORPORATION LIMITED,7108400000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,1,710.84
Cholamandalam Financial Holdings Limited,341790600000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,34179.06
Cholamandalam Investment and Finance Company Limited,260547600000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,26054.76
CIE AUTOMOTIVE INDIA LIMITED,45698425366.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,9,4569.8425366
Cipla Limited,275476194478.43,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,27547.619447843
CITY UNION BANK LIMITED,67321050000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,6732.105
Clean Science and Technology Limited,9223160000.0,AmountOfTotalSalesToDealersOrDistributors,INR,0,BRSR XBRL,2023-24,High,10,922.316
COAL INDIA LIMITED,143368920000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,2,14336.892
Cochin Shipyard Limited,45278415169.09,Turnover,INR,2,BRSR XBRL,2023-24,High,7,4527.841516908999
Coforge Limited,55570253076.97,Turnover,INR,2,BRSR XBRL,2023-24,High,3,5557.025307697
Computer Age Management Services Limited,14224833000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,1422.4833
Concord Biotech Limited,12000869000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,1200.0869
Container Corporation of India Limited,93255300000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,9325.53
