Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Crisil Limited,Other Business Services,90832989690.0,1009.255441,Other business activities,0.05,50.462772050000005,0.05,0.5555555555555556,203,139.0
Arvind Limited,Other Business Services,80000000000.0,888.8888888888889,Other business activities,0.05,44.44444444444445,0.05,0.5555555555555556,217,139.0
Triveni Engineering & Industries Limited,Other Business Services,69638625429.0,773.7625047666667,Other business activities,0.05,38.688125238333335,0.05,0.5555555555555556,231,139.0
Tata Teleservices (Maharashtra) Limited,Other Business Services,60555326460.0,672.8369606666666,Other business activities,0.05,33.64184803333333,0.05,0.5555555555555555,246,139.0
Thomas Cook  (India)  Limited,Other Business Services,60555326460.0,672.8369606666666,Other business activities,0.05,33.64184803333333,0.05,0.5555555555555555,247,139.0
Indian Bank,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.0555555555555555,254,560.0
Bank of Baroda,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.0555555555555555,256,560.0
Authum Investment & Infrastructure Limited,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.0555555555555555,257,560.0
UCO BANK,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.0555555555555555,253,560.0
Bajaj Holdings & Investment Limited,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.0555555555555555,252,560.0
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,50000000000.0,555.5555555555555,Other business activities,0.05,27.77777777777778,0.05,0.5555555555555556,277,139.0
Castrol India Limited,Other Business Services,50000000000.0,555.5555555555555,Other business activities,0.05,27.77777777777778,0.05,0.5555555555555556,278,139.0
