Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source,Estimated,Data_Tier,City_State_Key,Latitude,Longitude,Geocoded_Address,Geocoding_Method,Geocoding_Status
Anand Rathi Wealth Limited,2,Corporate Office,"Floor No. 2&3, Block B & C, E Wing, Trade Link, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai - 400013",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Anant Raj Limited,1,Registered Office,"Plot No. CP-1, Sector-8 IMT Manesar, Gurugram-122051, Haryana, India",Manesar,Haryana,India,XBRL_RegisteredOffice,False,Tier_1,"Manesar, Haryana, India",28.3247096,76.9263787,"Manesar, Gurugram, Haryana, India",City_Level,Success
Anant Raj Limited,2,Corporate Office,"H-65, Connaught Circus, New Delhi-110001",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Delhi, Delhi, India",13.0836939,80.270186,"New Delhi, Delhi, India",City_Level,Success
Angel One Limited,1,Registered Office,"601, 6th Floor, Ackruti Star, Central Road, MIDC, Andheri East,Mumbai-400093",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Anupam Rasayan India Limited,1,Registered Office,1101 to 1107 11th Floor Icon Rio Behind Icon Business Centre Dumas Road Surat 395007 Gujarat India,Surat,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Surat, Gujarat, India",21.2094892,72.8317058,"Surat, Katargam Taluka, Surat, Gujarat, 395008, India",City_Level,Success
Anupam Rasayan India Limited,2,Corporate Office,10th Floor Icon Rio Behind Icon Business Centre Dumas Road Surat 395007 Gujarat India,Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Surat, Gujarat, India",13.0836939,80.270186,"Surat, Katargam Taluka, Surat, Gujarat, 395008, India",City_Level,Success
APAR Industries Limited,1,Registered Office,"301 Panorama Complex, RC Dutt Road, Vadodara, Gujarat - 390007, India",Vadodara,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Vadodara, Gujarat, India",22.2973142,73.1942567,"Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India",City_Level,Success
APAR Industries Limited,2,Corporate Office,"APAR House', Bldg. No. 5, Corporate Park, Sion - Trombay Road, Chembur, Mumbai – 400071, Maharashtra, India",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
APL Apollo Tubes Limited,1,Registered Office,"37, Hargobind Enclave, Vikas Marg, Delhi 110092",Delhi,Delhi,India,XBRL_RegisteredOffice,False,Tier_1,"Delhi, Delhi, India",28.6138954,77.2090057,"New Delhi, Delhi, India",City_Level,Success
APL Apollo Tubes Limited,2,Corporate Office,"SG Centre, 37C, Block B, Sector 132, Noida, Uttar Pradesh - 201304",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Noida, Uttar Pradesh, India",13.0836939,80.270186,"Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, India",City_Level,Success
