Company,Total_Indicators,Has_Core,Has_Biodiversity
RateGain Travel Technologies Limited,22,True,False
Ratnamani Metals  Tubes Limited,21,True,False
Raymond Limited,22,True,False
Redington Limited,22,True,False
Redtape Limited,19,False,False
Relaxo Footwears Limited,22,True,False
Reliance Industries Limited,21,True,False
Reliance Infrastructure Limited,21,True,False
Responsive Industries Limited,18,False,False
Route Mobile Limited,21,True,False
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,22,True,False
SAPPHIRE FOODS INDIA LIMITED,22,True,False
SARDA ENERGY  MINERALS LIMITED,22,True,False
SAREGAMA India Limited,22,True,False
SBFC Finance Limited,20,True,False
SBI Cards and Payment Services Limited,21,True,False
SBI Life Insurance Company Limited,21,True,False
SHIPPING CORPORATION OF INDIA LIMITED,21,True,False
SJVN Limited,21,True,False
SKF INDIA LIMITED,21,True,False
SRF LIMITED,21,True,False
STATE BANK OF INDIA,21,True,False
SUMITOMO CHEMICAL INDIA LIMITED,22,True,False
SUNDARAM FINANCE LIMITED,21,True,False
SUPREME PETROCHEM LIMITED,22,True,False
SUZLON ENERGY LIMITED,22,True,False
Safari Industries India Limited,20,True,False
Sandur Manganese  Iron Ores Limited,21,True,False
Schneider Electric Infrastructure Limited,21,True,False
Sheela Foam Limited,21,True,False
Shoppers Stop Limited,21,True,False
Shree Renuka Sugars Limited,22,True,False
Shriram Finance Limited,22,True,False
Shyam Metalics and Energy Limited,21,True,False
Signatureglobal India Limited,21,True,False
Sobha Limited,21,True,False
Solar Industries India Limited,21,True,False
Sona BLW Precision Forgings Limited,21,True,False
Sonata Software Limited,22,True,False
Star Cement Limited,21,True,False
Star Health and Allied Insurance Company Limited,21,True,False
Steel Authority of India Limited,22,True,False
Sterling and Wilson Renewable Energy Limited,20,True,False
Sun Pharma Advanced Research Company Limited,19,False,False
Sun Pharmaceutical Industries Limited,21,True,False
Sun TV Network Limited,20,True,False
Sundram Fasteners Limited,21,True,False
Supreme Industries Limited,22,True,False
Syngene International Limited,22,True,False
Syrma SGS Technology Limited,21,True,False
TATA CHEMICALS LIMITED,22,True,False
TATA COMMUNICATIONS LIMITED,22,True,False
TBO Tek Limited,20,True,False
TEGA INDUSTRIES LIMITED,22,True,False
THE NEW INDIA ASSURANCE COMPANY LIMITED,21,True,False
THE PHOENIX MILLS LIMITED,21,True,False
TITAGARH RAIL SYSTEMS LIMITED,22,True,False
TRIDENT LIMITED,21,True,False
TTK PRESTIGE LIMITED,21,True,False
TVS Holdings Limited,14,False,False
TVS Motor Company Limited,22,True,False
TVS Supply Chain Solutions Limited,20,True,False
Tamilnad Mercantile Bank Limited,20,True,False
Tanla Platforms Limited,21,True,False
Tata Consultancy Services Limited,21,True,False
Tata Consumer Products Limited,21,True,False
Tata Elxsi Limited,22,True,False
Tata Investment Corporation Limited,21,True,False
Tata Motors Limited,22,True,False
Tata Steel Limited,22,True,False
Tata Technologies Limited,21,True,False
Tata Teleservices Maharashtra Limited,22,True,False
Tech Mahindra Limited,22,True,False
Techno Electric  Engineering Company Limited,20,True,False
Tejas Networks Limited,22,True,False
The Ramco Cements Limited,21,True,False
Thermax Limited,21,True,False
Thomas Cook  India  Limited,20,True,False
Timken India Limited,22,True,False
Titan Company Limited,22,True,False
Torrent Pharmaceuticals Limited,21,True,False
Torrent Power Limited,22,True,False
Triveni Engineering  Industries Limited,22,True,False
Triveni Turbine Limited,21,True,False
Tube Investments of India Limited,22,True,False
UNION BANK OF INDIA,21,True,False
UNITED BREWERIES LIMITED,21,True,False
UPL LIMITED,22,True,False
UTI Asset Management Company Limited,21,True,False
Ujjivan Small Finance Bank Limited,21,True,False
UltraTech Cement Limited,22,True,False
United Spirits Limited,22,True,False
Uno Minda Limited,22,True,False
Usha Martin Limited,22,True,False
V-GUARD INDUSTRIES LIMITED,21,True,False
VALOR ESTATE LIMITED,21,True,False
VIP INDUSTRIES LIMITED,21,True,False
Varroc Engineering Limited,21,True,False
Vedant Fashions Limited,20,True,False
Vedanta Limited,22,True,False
Vinati Organics Limited,21,True,False
Vodafone Idea Limited,21,True,False
Voltamp Transformers Limited,22,True,False
Voltas Limited,22,True,False
Waaree Renewable Technologies Limited,20,True,False
Welspun Corp Limited,21,True,False
Welspun Living Limited,22,True,False
Whirlpool of India Limited,22,True,False
Wipro Limited,22,True,False
Wockhardt Limited,22,True,False
YES Bank Limited,22,True,False
ZENSAR TECHNOLOGIES LIMITED,22,True,False
ZF Commercial Vehicle Control Systems India Limited,22,True,False
Zee Entertainment Enterprises Limited,22,True,False
Zen Technologies Limited,21,True,False
Zydus Lifesciences Limited,22,True,False
Zydus Wellness Limited,22,True,False
eClerx Services Limited,21,True,False
