Company_Name,Field,Old_Value,New_Value,Source,Timestamp
CITY UNION BANK LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.842674
Capri Global Capital Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.843779
Cholamandalam Financial Holdings Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.844786
Computer Age Management Services Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.845782
CreditAccess Grameen Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.846769
Easy Trip Planners Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.849775
FINE ORGANIC INDUSTRIES LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.851775
Five-Star Business Finance Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.851775
General Insurance Corporation of India,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.854745
Go Digit General Insurance Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.855780
HDFC Asset Management Company Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.857683
Home First Finance Company India Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.860683
Honasa Consumer Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.860683
IFCI Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.861770
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.861770
INOX India Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.862772
IRB Infrastructure Developers Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.862772
InterGlobe Aviation Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.864684
Jio Financial Services Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.867723
KFin Technologies Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.869769
Keystone Realtors Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.871738
Life Insurance Corporation of India,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.872774
Lloyds Metals and Energy Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.873780
MAHARASHTRA SCOOTERS LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.873780
MUTHOOT FINANCE LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.874726
Maharashtra Seamless Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.874726
Man Infraconstruction Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.875781
MedPlus Health Services Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.876776
Metropolis Healthcare Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.877779
Motilal Oswal Financial Services Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.877779
NBCC India Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.878778
NETWEB TECHNOLOGIES INDIA LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.879781
NUVAMA WEALTH MANAGEMENT LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.880772
One 97 Communications Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.881777
PNB Housing Finance Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.882781
PTC Industries Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.883775
Poonawalla Fincorp Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.885685
Power Mech Projects Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.886707
Punjab  Sind Bank,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.887699
Quess Corp Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.887699
RATTANINDIA ENTERPRISES LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.888682
Railtel Corporation of India Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.889714
RateGain Travel Technologies Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.890707
Ratnamani Metals  Tubes Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.890707
Redington Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.890707
Redtape Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.890707
Reliance Infrastructure Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.891700
Responsive Industries Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.891700
SAREGAMA India Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.892699
SBFC Finance Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.892699
SBI Cards and Payment Services Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.893698
SUNDARAM FINANCE LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.894699
Safari Industries India Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.894699
Signatureglobal India Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.896699
Sun Pharma Advanced Research Company Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.897805
Sun TV Network Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.897805
TBO Tek Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.899812
THE NEW INDIA ASSURANCE COMPANY LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.900685
Tamilnad Mercantile Bank Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.901802
Tata Investment Corporation Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.902686
Thomas Cook  India  Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.904683
UTI Asset Management Company Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.906688
VALOR ESTATE LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.907685
Zen Technologies Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.910683
Bikaji Foods,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.912826
Himadri Speciality Chemical Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.913807
