Company_Name,NSE_Symbol,Sector,Land_Footprint_Hectares,Data_Source,Data_Tier,Confidence,Status
Star Health and Allied Insurance Company Limited,STARHEALTH,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
JK CEMENT LIMITED,JKCEMENT,Construction Materials,50.0,Estimated (sector avg),Tier 3,40,Tier 3
Tata Investment Corporation Limited,TATAINVEST,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Delhivery Limited,DELHIVERY,Services,0.2,Estimated (sector avg),Tier 3,40,Tier 3
Deepak Nitrite Limited,DEEPAKNTR,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
Cochin Shipyard Limited,COCHINSHIP,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Apollo Tyres Limited,APOLLOTYRE,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Metro Brands Limited,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Ipca Laboratories Limited,IPCALAB,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
GLAND PHARMA LIMITED,GLAND,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
HINDUSTAN COPPER LIMITED,HINDCOPPER,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
Motherson Sumi Wiring India Limited,MSUMI,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Go Digit General Insurance Limited,GODIGIT,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Motilal Oswal Financial Services Limited,MOTILALOFS,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Endurance Technologies Limited,ENDURANCE,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
One 97 Communications Limited,PAYTM,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Syngene International Limited,SYNGENE,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Glenmark Pharmaceuticals Limited,GLENMARK,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Ajanta Pharma Limited,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
APAR Industries Limited,APARINDS,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Godrej Industries Limited,GODREJIND,Diversified,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Blue Star Limited,BLUESTARCO,Consumer Durables,5.0,Estimated (sector avg),Tier 3,40,Tier 3
K.P.R. MILL LIMITED,KPRMILL,Textiles,5.0,Estimated (sector avg),Tier 3,40,Tier 3
TATA CHEMICALS LIMITED,TATACHEM,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
360 ONE WAM LIMITED,360ONE,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
KIOCL Limited,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Narayana Hrudayalaya Ltd.,NH,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Sun TV Network Limited,SUNTV,Media Entertainment & Publication,5.0,Estimated (sector avg),Tier 3,40,Tier 3
EIH Limited,EIHOTEL,Consumer Services,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Timken India Limited,TIMKEN,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Angel One Limited,ANGELONE,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Carborundum Universal Limited,CARBORUNIV,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Grindwell Norton Limited,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Vedant Fashions Limited,MANYAVAR,Consumer Services,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Aditya Birla Fashion and Retail Limited,ABFRL,Consumer Services,5.0,Estimated (sector avg),Tier 3,40,Tier 3
