Company_Name,Sector,Revenue_Cr
Kansai Nerolac Paints Limited,Unknown,0
KARUR VYSYA BANK LIMITED,Unknown,0
Kaynes Technology India Limited,Unknown,0
KEC International Limited,Unknown,0
KEI INDUSTRIES LIMITED,Unknown,0
Keystone Realtors Limited,Unknown,0
KFin Technologies Limited,Unknown,0
KIOCL Limited,Unknown,0
Kirloskar Brothers Limited,Unknown,0
Kirloskar Oil Engines Limited,Unknown,0
KNR Constructions Limited,Unknown,0
KOTAK MAHINDRA BANK LIMITED,Unknown,0
KPIT Technologies Limited,Unknown,0
KPI GREEN ENERGY LIMITED,Unknown,0
KPR MILL LIMITED,Unknown,0
Krishna Institute of Medical Sciences Limited,Unknown,0
Latent View Analytics Limited,Unknown,0
LAURUS LABS LIMITED,Unknown,0
Lemon Tree Hotels Limited,Unknown,0
LIC Housing Finance Limited,Unknown,0
Life Insurance Corporation of India,Unknown,0
Linde India Limited,Unknown,0
Lloyds Metals and Energy Limited,Unknown,0
Lupin Limited,Unknown,0
MACROTECH DEVELOPERS LIMITED,Unknown,0
Mahanagar Gas Limited,Unknown,0
MAHARASHTRA SCOOTERS LIMITED,Unknown,0
Maharashtra Seamless Limited,Unknown,0
Mahindra Holidays  Resorts India Limited,Unknown,0
Mahindra Lifespace Developers Limited,Unknown,0
Mahindra  Mahindra Financial Services Limited,Unknown,0
Mahindra  Mahindra Limited,Unknown,0
Manappuram Finance Limited,Unknown,0
MANKIND PHARMA LIMITED,Unknown,0
Man Infraconstruction Limited,Unknown,0
Marico Limited,Unknown,0
Maruti Suzuki India Limited,Unknown,0
Mastek Limited,Unknown,0
Max Financial Services Limited,Unknown,0
MAX HEALTHCARE INSTITUTE LIMITED,Unknown,0
Mazagon Dock Shipbuilders Limited,Unknown,0
MedPlus Health Services Limited,Unknown,0
Metropolis Healthcare Limited,Unknown,0
Metro Brands Limited,Unknown,0
Mishra Dhatu Nigam Limited,Unknown,0
MMTC LIMITED,Unknown,0
MOIL Limited,Unknown,0
Motherson Sumi Wiring India Limited,Unknown,0
Motilal Oswal Financial Services Limited,Unknown,0
Mphasis Limited,Unknown,0
MRF Limited,Unknown,0
MUTHOOT FINANCE LIMITED,Unknown,0
Narayana Hrudayalaya Ltd,Unknown,0
NATCO Pharma Limited,Unknown,0
NAVA LIMITED,Unknown,0
Navin Fluorine International Limited,Unknown,0
NBCC India Limited,Unknown,0
NCC LIMITED,Unknown,0
Nestle India Limited,Unknown,0
NETWEB TECHNOLOGIES INDIA LIMITED,Unknown,0
Neuland Laboratories Limited,Unknown,0
Newgen Software Technologies Limited,Unknown,0
NHPC Limited,Unknown,0
Nippon Life India Asset Management Limited,Unknown,0
NLC India Limited,Unknown,0
NMDC Limited,Unknown,0
NMDC Steel Limited,Unknown,0
NTPC LIMITED,Unknown,0
NUVAMA WEALTH MANAGEMENT LIMITED,Unknown,0
Nuvoco Vistas Corporation Limited,Unknown,0
Oberoi Realty Limited,Unknown,0
Oil India Limited,Unknown,0
Olectra Greentech Limited,Unknown,0
One 97 Communications Limited,Unknown,0
Oracle Financial Services Software Limited,Unknown,0
Page Industries Limited,Unknown,0
PATANJALI FOODS LIMITED,Unknown,0
PB FINTECH LIMITED,Unknown,0
Persistent Systems Limited,Unknown,0
Petronet LNG Limited,Unknown,0
Pfizer Limited,Unknown,0
Pidilite Industries Limited,Unknown,0
Piramal Enterprises Limited,Unknown,0
Piramal Pharma Limited,Unknown,0
PI INDUSTRIES LIMITED,Unknown,0
PNB Housing Finance Limited,Unknown,0
PNC Infratech Limited,Unknown,0
Polycab India Limited,Unknown,0
POLY MEDICURE LIMITED,Unknown,0
Poonawalla Fincorp Limited,Unknown,0
Power Finance Corporation Limited,Unknown,0
Power Grid Corporation of India Limited,Unknown,0
Power Mech Projects Limited,Unknown,0
Praj Industries Limited,Unknown,0
Prestige Estates Projects Limited,Unknown,0
Prism Johnson Limited,Unknown,0
Procter  Gamble Health Limited,Unknown,0
PTC Industries Limited,Unknown,0
PUNJAB NATIONAL BANK,Unknown,0
Punjab  Sind Bank,Unknown,0
PVR INOX LIMITED,Unknown,0
Quess Corp Limited,Unknown,0
Radico Khaitan Limited,Unknown,0
Railtel Corporation of India Limited,Unknown,0
Rail Vikas Nigam Limited,Unknown,0
RAJESH EXPORTS LIMITED,Unknown,0
Ramkrishna Forgings Limited,Unknown,0
RateGain Travel Technologies Limited,Unknown,0
Ratnamani Metals  Tubes Limited,Unknown,0
RATTANINDIA ENTERPRISES LIMITED,Unknown,0
Raymond Limited,Unknown,0
RBL Bank Limited,Unknown,0
REC Limited,Unknown,0
Redington Limited,Unknown,0
Redtape Limited,Unknown,0
Relaxo Footwears Limited,Unknown,0
Reliance Industries Limited,Unknown,0
Reliance Infrastructure Limited,Unknown,0
RELIANCE POWER LIMITED,Unknown,0
