Company_Name,Indicator_ID,Indicator_Name,Value,Unit,Dimension,Data_Source,XBRL_Tag,Data_Tier,Confidence,FY_Year,Verification,Calculation_Method,Tolerance,Within_Tolerance
Aavas Financiers Limited,5.2_waste_reused,Waste Reused,0.0,tonnes,5. Pollution,BRSR_XBRL,WasteRecoveredThroughReUsed,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Aavas Financiers Limited,5.2_plastic_waste,Plastic Waste Generated,3.954,tonnes,5. Pollution,BRSR_XBRL,PlasticWaste,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Aavas Financiers Limited,5.2_e_waste,E-Waste Generated,2.95,tonnes,5. Pollution,BRSR_XBRL,EWaste,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Aavas Financiers Limited,5.2_battery_waste,Battery Waste,0.0,tonnes,5. Pollution,BRSR_XBRL,BatteryWaste,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Aavas Financiers Limited,5.2_biomedical_waste,Biomedical Waste,0.0,tonnes,5. Pollution,BRSR_XBRL,BioMedicalWaste,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Aavas Financiers Limited,5.2_radioactive_waste,Radioactive Waste,0.0,tonnes,5. Pollution,BRSR_XBRL,RadioactiveWaste,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Aavas Financiers Limited,5.3_waste_intensity,Waste Intensity,5e-10,tonnes/Rs Cr,5. Pollution,BRSR_XBRL,WasteIntensityPerRupeeOfTurnover,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,1.1_scope1_emissions,Scope 1 GHG Emissions,13488976.0,tCO2e,1. Climate & Atmosphere,BRSR_XBRL,TotalScope1Emissions,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,1.2_scope2_emissions,Scope 2 GHG Emissions,625212.0,tCO2e,1. Climate & Atmosphere,BRSR_XBRL,TotalScope2Emissions,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,1.4_total_energy_renewable,Total Energy from Renewable Sources,5987089.0,GJ,1. Climate & Atmosphere,BRSR_XBRL,TotalEnergyConsumedFromRenewableSources,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,1.4_total_energy_non_renewable,Total Energy from Non-Renewable Sources,63010229.0,GJ,1. Climate & Atmosphere,BRSR_XBRL,TotalEnergyConsumedFromNonRenewableSources,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,1.4_total_energy,Total Energy Consumption,68997318.0,GJ,1. Climate & Atmosphere,BRSR_XBRL,TotalEnergyConsumedFromRenewableAndNonRenewableSources,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,1.4_energy_intensity,Energy Intensity,0.000335036,GJ/Rs Cr,1. Climate & Atmosphere,BRSR_XBRL,EnergyIntensityPerRupeeOfTurnover,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,2.1_water_withdrawal,Total Water Withdrawal,4799919.85,KL,2. Freshwater,BRSR_XBRL,TotalVolumeOfWaterWithdrawal,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,2.2_water_discharged,Total Water Discharged,0.0,KL,2. Freshwater,BRSR_XBRL,TotalWaterDischargedInKilolitres,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,2.3_water_intensity,Water Intensity,2.33074e-05,KL/Rs Cr,2. Freshwater,BRSR_XBRL,WaterIntensityPerRupeeOfTurnover,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,5.1_hazardous_air_pollutants,Hazardous Air Pollutants,0.0,tonnes,5. Pollution,BRSR_XBRL,HazardousAirPollutants,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
