Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Land_Degraded_ha,Land_Restored_ha,Total_Land_ha,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Renewable_Energy_Pct,Total_Energy_GJ,Renewable_Energy_GJ
Amara Raja Energy  Mobility Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,12404.8988372,0.52,0.0374641669027132,0.005225,0.001730139146484,0.005225,0.006955139146484,0.0588335,Tier 2,75%,6816.0,230765.0,451864.0,941500.0,27573.26,1.73,689445.0,55578.44598719998,75897.43474381391,2222.771855044306,1.73,OK,450.0,22.0,0.0,0.0,472.0,0.0,0.0,0.0,12.0,,
Amber Enterprises India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,9973.015655987,0.58,0.0374641669027132,0.005225,0.0032407482182809,0.005225,0.0084657482182809,0.035033625,Tier 2,75%,8150.35,57550.75,32400.0,277748.68,26753.35,0.0,65701.1,6587.8869808610325,27850.01945056227,2682.5737492891058,0.0,OK,22.4,5.0,0.0,0.0,27.4,0.0,0.0,0.0,5.0,,
Ambuja Cements Limited,Cement Manufacturing,Hyderabad,Telangana,18857.0,0.45,0.0777832037429109,0.0033,0.0010555621738332,0.0033,0.0043555621738332,0.109428,Tier 2,75%,14756978.0,485448.0,4124000.0,4703097.26,283850.79,42100.0,15242426.0,808316.593307525,249408.56233759344,15052.80744551095,0.0,OK,6500.0,1250.0,185.0,160.0,7750.0,0.0238709677419354,0.0206451612903225,-25.0,18.4,,
Anand Rathi Wealth Limited,Financial Services,Pune,Maharashtra,905.0699,0.42,0.0011797441546504,0.000297,0.0006588996608419,0.000297,0.0009558996608419,0.000223344,Tier 2,75%,12.21,789.87,450.0,774.24,0.0,,802.08,886.2077945581883,855.4477394508425,0.0,,OK,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3286.71,0.0
Anant Raj Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,1228.5977135,0.51,0.0374641669027132,0.005225,0.0128751516983717,0.005225,0.0181001516983717,0.0077539,Tier 2,75%,5.61,23383.67,0.0,39510.0,937.445,0.0,23389.28,19037.37874732745,32158.61430137685,763.0203033093957,0.0,OK,512.0,12.0,0.0,0.0,524.0,0.0,0.0,0.0,0.0,7329.3,0.0
Anupam Rasayan India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,1505.316,0.55,0.0374641669027132,0.005225,0.0140554514300765,0.005225,0.0192804514300765,0.0076598499999999,Tier 2,75%,84581.0,32046.0,236144.0,517048.0,30489.01,14.2,352771.0,234350.129806632,343481.368696008,20254.225690818406,0.0,OK,115.0,22.0,0.0,0.0,137.0,0.0,0.0,0.0,39.5,226114.0,89315.0
Apollo Tyres Limited,Chemicals & Fertilizers,Delhi,Delhi,17870.600635,0.62,0.0374641669027132,0.005225,0.0009152724201939,0.005225,0.0061402724201939,0.1326000499999999,Tier 2,75%,257515.55,241414.3,176362.23,1888750.0,32091.05,412.0,675292.08,37787.87819125812,105690.3479954019,1795.7454623628548,0.0,OK,650.0,120.0,0.0,15.0,770.0,0.0,0.0194805194805194,15.0,15.5,,
Aptus Value Housing Finance India Limited,Financial Services,Bangalore,Karnataka,1798.0,0.48,0.0011797441546504,0.000297,0.0003740272088719,0.000297,0.0006710272088719,0.000449658,Tier 2,75%,,,450.0,0.0,0.0,,,,0.0,0.0,,PARTIAL ENV DATA,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4500.0,0.0
Asahi India Glass Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,4347.8256667,0.52,0.0374641669027132,0.005225,0.0044867265751752,0.005225,0.0097117265751752,0.02268695,Tier 2,75%,260368.0,146799.0,124000.0,650486.0,32430.48,850.0,407167.0,93648.41905196256,149611.79446132647,7459.011120980556,0.0,OK,215.0,45.0,0.0,0.0,260.0,0.0,0.0,0.0,12.0,850000.0,102000.0
Ashok Leyland Limited,Chemicals & Fertilizers,Kolkata,West Bengal,45276.0,0.58,0.0374641669027132,0.005225,0.0004745302964244,0.005225,0.0056995302964244,0.2392579749999999,Tier 2,75%,30986.68,69608.31,144225.0,878006.81,165363.86,0.0,244819.99,5407.279574167329,19392.32286421062,3652.351356126866,0.0,OK,950.0,45.0,0.0,18.0,995.0,0.0,0.0180904522613065,18.0,43.5,1556090.0,677040.0
Asian Paints Limited,Chemicals & Fertilizers,Hyderabad,Telangana,37172.75,0.45,0.0374641669027132,0.005225,0.0004749781683163,0.005225,0.0056999781683163,0.18545615,Tier 2,75%,87435.0,52727.0,3220000.0,1365903.0,19490.4,0.0,3360162.0,90393.1508968263,36744.73908979024,524.3195620447775,0.0,OK,520.0,15.0,0.0,12.0,535.0,0.0,0.022429906542056,12.0,18.47,,
Aster DM Healthcare Limited,Pharmaceuticals & Healthcare,Pune,Maharashtra,4138.46,0.42,0.0144770016599194,0.003465,0.0004597263494001,0.003465,0.0039247263494001,0.04582809,Tier 2,75%,3058.0,46335.0,1377.0,1235522.62,2587.0,,50770.0,12267.848426709452,298546.4689763825,625.1117565471213,,OK,15.0,450.0,0.0,0.0,465.0,0.0,0.0,0.0,2.4,,
AstraZeneca Pharma India Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,1716.29166566,0.51,0.0144770016599194,0.003465,0.0057190324140657,0.003465,0.0091840324140657,0.004473315,Tier 2,75%,312.04,1233.65,11200.0,22534.27,26.2669,0.0,1545.69,900.598674995957,13129.627353480417,15.304450010190466,0.0,OK,115.0,15.0,0.0,0.0,130.0,0.0,0.0,0.0,71.5,23306.48,16669.0
Astral Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,6415.6831175,0.55,0.0374641669027132,0.005225,0.0036527728765276,0.005225,0.0088777728765276,0.0294742249999999,Tier 2,75%,4059.31,88414.34,185000.0,132144.59,6420.01,0.0,92473.65,14413.6872576765,20597.119212379803,1000.6744227264276,0.0,OK,185.0,25.0,0.0,0.0,210.0,0.0,0.0,0.0,12.3,,
Atul Limited,Chemicals & Fertilizers,Delhi,Delhi,5074.6806729,0.62,0.0374641669027132,0.005225,0.0046077729576834,0.005225,0.0098327729576834,0.0263392249999999,Tier 2,75%,656894.0,144301.0,185000.0,4570869.0,203008.948,10.49,801195.0,157880.87007692357,900720.5171370734,40004.28028587415,10.49,OK,1240.0,115.0,0.0,45.0,1355.0,0.0,0.033210332103321,45.0,11.0,,
Avenue Supermarts Limited,Pharmaceuticals & Healthcare,Chennai,Tamil Nadu,57790.0,0.52,0.0144770016599194,0.003465,0.0001503743530653,0.003465,0.0036153743530653,0.17346483,Tier 2,75%,15506.0,204890.0,40517.0,1442141.0,83198.0,0.0,260913.0,4514.8468593182215,24954.85378093096,1439.6608409759474,0.0,OK,85.0,450.0,0.0,0.0,535.0,0.0,0.0,0.0,1.5,,
Axis Bank Limited,Financial Services,Kolkata,West Bengal,147934.0963169,0.58,0.0011797441546504,0.000297,5.538346308295011e-06,0.000297,0.0003025383463082,0.036693756,Tier 2,75%,11347.36,128997.62,41566.9,179489.2,855.94,,181911.88,1229.6818957160074,1213.3051437682334,5.785954836040172,,OK,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.2,,
BAJAJ ELECTRICALS LIMITED,Pharmaceuticals & Healthcare,Hyderabad,Telangana,5157.498897496,0.45,0.0144770016599194,0.003465,0.0014037170323128,0.003465,0.0048687170323128,0.016081065,Tier 2,75%,1498.16,5106.96,433629.94,43837.94,2142.48,0.0,440235.06,85358.24607034566,8499.84476415179,415.4106559363858,0.0,OK,85.0,15.0,0.0,0.0,100.0,0.0,0.0,0.0,8.4,,
BANK OF INDIA,Financial Services,Pune,Maharashtra,79820.0,0.42,0.0011797441546504,0.000297,7.425111564963855e-06,0.000297,0.0003044251115649,0.019819404,Tier 2,75%,9106.24,88417.59,249.99,614352.6,2916.3,,97523.83,1221.7969180656478,7696.725131545978,36.53595590077675,,OK,62.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.2,,
BANK OF MAHARASHTRA,Financial Services,Ahmedabad,Gujarat,234930.0,0.51,0.0011797441546504,0.000297,2.584047066104209e-05,0.000297,0.000322840470661,0.006915348,Tier 2,75%,804.0,31925.0,,173997.68,80.94,,32729.0,139.31383816455966,740.6362746349976,0.344528157323458,,OK,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.2,,
BASF India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,15162.35,0.55,0.0374641669027132,0.005225,0.001496824916206,0.005225,0.006721824916206,0.0719273499999999,Tier 2,75%,17750.55,14997.4,185000.0,677015.0,6162.243,14.0,32747.95,2159.820212565994,44651.06002697471,406.41740891088784,0.0,OK,315.0,22.0,0.0,0.0,337.0,0.0,0.0,0.0,37.0,536364.3,198644.4
