Company_Name,Sector,Facilities_Extracted,Estimated_Total_Facilities,Missing_Facilities,Facility_Types_Expected
JYOTHY LABS LIMITED,Fast Moving Consumer Goods,1,16,15,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Aptus Value Housing Finance India Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Himadri Speciality Chemical Limited,Chemicals,2,7,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Waaree Renewable Technologies Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
Navin Fluorine International Limited,Chemicals,1,5,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Krishna Institute of Medical Sciences Limited,Healthcare,1,6,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Tata Teleservices (Maharashtra) Limited,Telecommunication,0,12,12,"['Office', 'Tower', 'Data Center', 'Store']"
Jindal Saw Limited,Capital Goods,3,5,2,"['Office', 'Facility']"
RITES Limited,Construction,2,8,6,"['Office', 'Yard', 'Warehouse']"
Zee Entertainment Enterprises Limited,Media Entertainment & Publication,1,4,3,"['Office', 'Facility']"
GODFREY PHILLIPS INDIA LIMITED,Fast Moving Consumer Goods,3,16,13,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
JAI BALAJI INDUSTRIES LIMITED,Metals & Mining,1,9,8,"['Mine', 'Plant', 'Office', 'Warehouse']"
Finolex Industries Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Schneider Electric Infrastructure Limited,Capital Goods,3,5,2,"['Office', 'Facility']"
Triveni Turbine Limited,Capital Goods,3,5,2,"['Office', 'Facility']"
BASF India Limited,Chemicals,1,5,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Tejas Networks Limited,Telecommunication,2,12,10,"['Office', 'Tower', 'Data Center', 'Store']"
Redington Limited,Services,1,4,3,"['Office', 'Branch']"
Blue Dart Express Limited,Services,1,4,3,"['Office', 'Branch']"
INDIAMART INTERMESH LIMITED,Consumer Services,2,12,10,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Sanofi India Limited,Healthcare,1,6,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
NUVAMA WEALTH MANAGEMENT LIMITED,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
RBL Bank Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
NCC LIMITED,Construction,2,8,6,"['Office', 'Yard', 'Warehouse']"
Concord Biotech Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
POLY MEDICURE LIMITED,Healthcare,1,6,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Century Plyboards (India) Limited,Consumer Durables,0,5,5,"['Factory', 'Office', 'Warehouse', 'Store']"
Sobha Limited,Realty,1,4,3,"['Office', 'Facility']"
Manappuram Finance Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
Computer Age Management Services Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
Anand Rathi Wealth Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
DCM Shriram Limited,Diversified,3,5,2,"['Office', 'Facility']"
KARUR VYSYA BANK LIMITED,Financial Services,3,24,21,"['Branch', 'Office', 'Data Center']"
Aditya Birla Sun Life AMC Limited,Financial Services,3,24,21,"['Branch', 'Office', 'Data Center']"
Authum Investment & Infrastructure Limited,Financial Services,0,24,24,"['Branch', 'Office', 'Data Center']"
V-GUARD INDUSTRIES LIMITED,Consumer Durables,1,5,4,"['Factory', 'Office', 'Warehouse', 'Store']"
TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,3,5,2,"['Office', 'Facility']"
Clean Science and Technology Limited,Chemicals,1,5,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
BEML Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
Welspun Corp Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Olectra Greentech Limited,Automobile and Auto Components,1,6,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Welspun Living Limited,Textiles,4,5,1,"['Office', 'Facility']"
BLS International Services Limited,Consumer Services,2,12,10,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
AstraZeneca Pharma India Limited,,2,5,3,"['Office', 'Facility']"
HFCL Limited,Telecommunication,5,15,10,"['Office', 'Tower', 'Data Center', 'Store']"
KSB Limited,Capital Goods,3,5,2,"['Office', 'Facility']"
Sterling and Wilson Renewable Energy Limited,Construction,3,8,5,"['Office', 'Yard', 'Warehouse']"
ALOK INDUSTRIES LIMITED,Textiles,2,5,3,"['Office', 'Facility']"
Bikaji Foods International Limited,Fast Moving Consumer Goods,2,16,14,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Data Patterns (India) Limited,Capital Goods,0,4,4,"['Office', 'Facility']"
Asahi India Glass Limited,Automobile and Auto Components,3,8,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Kirloskar Oil Engines Limited,,2,5,3,"['Office', 'Facility']"
Firstsource Solutions Limited,Services,1,4,3,"['Office', 'Branch']"
Honasa Consumer Limited,Fast Moving Consumer Goods,2,16,14,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
PVR INOX LIMITED,Media Entertainment & Publication,2,5,3,"['Office', 'Facility']"
Mahanagar Gas Limited,Oil Gas & Consumable Fuels,2,6,4,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
Indian Energy Exchange Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
FINE ORGANIC INDUSTRIES LIMITED,Chemicals,1,5,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
ZENSAR TECHNOLOGIES LIMITED,,2,5,3,"['Office', 'Facility']"
RHI Magnesita India Ltd,Capital Goods,3,5,2,"['Office', 'Facility']"
CHENNAI PETROLEUM CORPORATION LIMITED,Oil Gas & Consumable Fuels,2,6,4,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
INTELLECT DESIGN ARENA LIMITED,Information Technology,2,5,3,"['Office', 'Data Center', 'Development Center']"
Ramkrishna Forgings Limited,Automobile and Auto Components,2,6,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Raymond Limited,,2,5,3,"['Office', 'Facility']"
Indegene Limited,Healthcare,1,6,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
G R Infraprojects Limited,Construction,2,8,6,"['Office', 'Yard', 'Warehouse']"
Tanla Platforms Limited,Information Technology,1,4,3,"['Office', 'Data Center', 'Development Center']"
Engineers India Limited,Construction,1,6,5,"['Office', 'Yard', 'Warehouse']"
Amber Enterprises India Limited,Consumer Durables,3,7,4,"['Factory', 'Office', 'Warehouse', 'Store']"
Happiest Minds Technologies Limited,Information Technology,1,4,3,"['Office', 'Data Center', 'Development Center']"
Railtel Corporation of India Limited,Telecommunication,1,12,11,"['Office', 'Tower', 'Data Center', 'Store']"
Westlife Foodworld Limited,Consumer Services,1,12,11,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
JAIPRAKASH POWER VENTURES LIMITED,Power,3,12,9,"['Power Plant', 'Substation', 'Office']"
