Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source
ABB India Limited,2,Plant,"Bangalore (Rural & Urban), Faridabad, Vadodara & Nashik",Bangalore,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
ACC Limited,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Adani Energy Solutions Limited,1,Registered Office,"“Adani Corporate House”, Shantigram, Near VaishnoDevi Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421, Gujarat, India",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Adani Energy Solutions Limited,2,Corporate Office,"“Adani Corporate House”, Shantigram, Near VaishnoDevi Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421, Gujarat, India.",Ahmedabad,Gujarat,India,XBRL_CorporateOffice
Adani Energy Solutions Limited,3,Plant,"1) Mahendergarh HVDC in Haryana
2) Badaun substation in Uttar Pradesh 
3) Sami Substation in Gujrat, 
4) MES Gwalior Substation and
5) Morena Substation in Madhya Pradesh 
Plus, following 7 substations in Rajasthan
6) Bar Substation
7) Peeplu Substation
8) Khatoti Substation
9) Riyabari Substation
10) Sorda Substation
11) Ahore Substation
12) Deedwana Substation",Gwalior,Rajasthan,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Adani Energy Solutions Limited,4,Facility,Ahmedabad have been certified as Zero Waste to Landfill sites by,Ahmedabad,Gujarat,India,XBRL_TextExtraction
Adani Enterprises Limited,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishnodevi Circle, S. G. Highway, Khodiyar, Ahmedabad –382421, Gujarat, India.",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Adani Ports and Special Economic Zone Limited,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, Ahmedabad-382421 Gujarat",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Adani Ports and Special Economic Zone Limited,2,Plant,"Patli, Kishangarh, Kilaraipur, Malur, Loni, Kanech, Dewas, Kannauj, Kotkapura, Panipat,
Ujjain, Moga, Kaithal and Malur",Loni,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
ADANI POWER LIMITED,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, NA Ahmedabad Ahmedabad GJ 382421 IN",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
ADANI POWER LIMITED,2,Plant,"Kawai, Atru Tehsil, Baran Dist, - APL. Kawai.",,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
ADANI POWER LIMITED,3,Facility,Mundra,Mundra,,India,XBRL_TextExtraction
Adani Total Gas Limited,1,Registered Office,"“Adani Corporate House”, Shantigram, Near VaishnoDevi
Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421,
Gujarat, India.",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Adani Total Gas Limited,2,Facility,its city gas station situated in Ramol,Ramol,,India,XBRL_TextExtraction
Aditya Birla Capital Limited,1,Registered Office,"Indian Rayon Compound, Veraval – 362266, Gujarat",,Gujarat,India,XBRL_RegisteredOffice
Aditya Birla Capital Limited,2,Corporate Office,"18th floor, One World Centre, Jupiter Mills Compound, 841, Senapati Bapat, Mumbai – 400013, 
Maharashtra",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Aditya Birla Capital Limited,3,Plant,"Jaipur, Indore, Lucknow, Chennai, Bengaluru, Gurgaon",Jaipur,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Aditya Birla Fashion and Retail Limited,1,Registered Office,"Piramal Agastya Corporate Park, Building ‘A’, 4th and 5th Floor, Unit No. 401, 403, 501, 502, L.B.S. Road, Kurla, Mumbai, Maharashtra - 400 070",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Aditya Birla Fashion and Retail Limited,2,Corporate Office,"KH No 118/110/1 Building2 Divyashree Technopolis, Yemalur Post, HAL Old Airport Rd, Bengaluru, Karnataka - 560 037",Bengaluru,Karnataka,India,XBRL_CorporateOffice
Aditya Birla Fashion and Retail Limited,3,Plant,Banglore and Gurugram,Gurugram,Haryana,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Aditya Birla Sun Life AMC Limited,1,Registered Office,"One World Center, Tower 1, 17th Floor, Jupiter Mills, Senapati Bapat Marg Elphinstone Road, Mumbai - 400013",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Aditya Birla Sun Life AMC Limited,2,Corporate Office,"One World Center, Tower 1, 17th Floor, Jupiter Mills, Senapati Bapat Marg, Elphinstone Road, Mumbai - 400013",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Aditya Birla Sun Life AMC Limited,3,Facility,"Mumbai
Fuel consumption pertains to the use of diesel in diesel generator",Mumbai,Maharashtra,India,XBRL_TextExtraction
Aegis Logistics Limited,1,Registered Office,"502, 5th Floor, Skylon Co. Op. Housing Society Limited., GIDC, Char Rasta, Vapi- 396195, Dist. Valsad, Gujarat State, India",Vapi,Gujarat,India,XBRL_RegisteredOffice
Aegis Logistics Limited,2,Corporate Office,"1202, Tower B, Peninsula Business Park, G K MARG, Lower Parel (WEST) Mumbai-400013 MH",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Aether Industries Limited,1,Registered Office,"Aether Industries Limited, Plot No. 8203, GIDC Sachin, Surat-394230, Gujarat.",Surat,Gujarat,India,XBRL_RegisteredOffice
AIA ENGINEERING LIMITED,1,Registered Office,"115, G.V.M.M. ESTATE, ODAV ROAD, ODHAV, 
AHMEDABAD - 382415",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
