Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag
Amber Enterprises India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,6705.0,0.58,0.0374641669027132,0.005225,0.0032407482182809,0.005225,0.0084657482182809,0.035033625,Tier 2,75%,8150.35,57550.75,0.0,277748.68,26753.35,0.0,65701.1,9798.82,41424.11,3990.06,0.0,OK
Ambuja Cements Limited,Cement Manufacturing,Hyderabad,Telangana,33160.0,0.45,0.0777832037429109,0.0033,0.0010555621738332,0.0033,0.0043555621738332,0.109428,Tier 2,75%,14756978.0,485448.0,,4703097.26,283850.79,0.0,15242426.0,459663.03,141830.44,8560.04,0.0,OK
Anand Rathi Wealth Limited,Financial Services,Pune,Maharashtra,752.0,0.42,0.0011797441546504,0.000297,0.0006588996608419,0.000297,0.0009558996608419,0.000223344,Tier 2,75%,12.21,789.87,,774.24,0.0,,802.08,1066.6,1029.57,0.0,,OK
Anant Raj Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,1484.0,0.51,0.0374641669027132,0.005225,0.0128751516983717,0.005225,0.0181001516983717,0.0077539,Tier 2,75%,5.61,23383.67,0.0,39510.0,937.445,0.0,23389.28,15760.97,26623.99,631.7,0.0,OK
Anupam Rasayan India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,1466.0,0.55,0.0374641669027132,0.005225,0.0140554514300765,0.005225,0.0192804514300765,0.0076598499999999,Tier 2,75%,84581.0,32046.0,236144.0,517048.0,30489.01,0.0,352771.0,240635.06,352693.04,20797.41,0.0,OK
Apollo Tyres Limited,Chemicals & Fertilizers,Delhi,Delhi,25378.0,0.62,0.0374641669027132,0.005225,0.0009152724201939,0.005225,0.0061402724201939,0.1326000499999999,Tier 2,75%,257515.55,241414.3,176362.23,1888750.0,32091.05,0.0,675292.08,26609.35,74424.7,1264.52,0.0,OK
Aptus Value Housing Finance India Limited,Financial Services,Bangalore,Karnataka,1514.0,0.48,0.0011797441546504,0.000297,0.0003740272088719,0.000297,0.0006710272088719,0.000449658,Tier 2,75%,,,,0.0,0.0,,,,0.0,0.0,,PARTIAL ENV DATA
Asahi India Glass Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,4342.0,0.52,0.0374641669027132,0.005225,0.0044867265751752,0.005225,0.0097117265751752,0.02268695,Tier 2,75%,260368.0,146799.0,,650486.0,32430.48,0.0,407167.0,93774.07,149812.53,7469.02,0.0,OK
Ashok Leyland Limited,Chemicals & Fertilizers,Kolkata,West Bengal,45791.0,0.58,0.0374641669027132,0.005225,0.0004745302964244,0.005225,0.0056995302964244,0.2392579749999999,Tier 2,75%,30986.68,69608.31,144225.0,878006.81,165363.86,0.0,244819.99,5346.47,19174.22,3611.27,0.0,OK
Asian Paints Limited,Chemicals & Fertilizers,Hyderabad,Telangana,35494.0,0.45,0.0374641669027132,0.005225,0.0004749781683163,0.005225,0.0056999781683163,0.18545615,Tier 2,75%,87435.0,52727.0,3220000.0,1365903.0,19490.4,0.0,3360162.0,94668.45,38482.64,549.12,0.0,OK
Aster DM Healthcare Limited,Pharmaceuticals & Healthcare,Pune,Maharashtra,13226.0,0.42,0.0144770016599194,0.003465,0.0004597263494001,0.003465,0.0039247263494001,0.04582809,Tier 2,75%,3058.0,46335.0,1377.0,1235522.62,2587.0,,50770.0,3838.65,93416.2,195.6,,OK
AstraZeneca Pharma India Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,1291.0,0.51,0.0144770016599194,0.003465,0.0057190324140657,0.003465,0.0091840324140657,0.004473315,Tier 2,75%,312.04,1233.65,,22534.27,26.2669,0.0,1545.69,1197.28,17454.9,20.35,0.0,OK
Astral Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,5641.0,0.55,0.0374641669027132,0.005225,0.0036527728765276,0.005225,0.0088777728765276,0.0294742249999999,Tier 2,75%,4059.31,88414.34,,132144.59,6420.01,0.0,92473.65,16393.13,23425.74,1138.1,0.0,OK
Atul Limited,Chemicals & Fertilizers,Delhi,Delhi,5041.0,0.62,0.0374641669027132,0.005225,0.0046077729576834,0.005225,0.0098327729576834,0.0263392249999999,Tier 2,75%,656894.0,144301.0,,4570869.0,203008.948,10.49,801195.0,158935.73,906738.54,40271.56,10.49,OK
Avenue Supermarts Limited,Pharmaceuticals & Healthcare,Chennai,Tamil Nadu,50062.0,0.52,0.0144770016599194,0.003465,0.0001503743530653,0.003465,0.0036153743530653,0.17346483,Tier 2,75%,15506.0,204890.0,40517.0,1442141.0,83198.0,0.0,260913.0,5211.8,28807.1,1661.9,0.0,OK
Axis Bank Limited,Financial Services,Kolkata,West Bengal,123548.0,0.58,0.0011797441546504,0.000297,5.538346308295011e-06,0.000297,0.0003025383463082,0.036693756,Tier 2,75%,11347.36,128997.62,41566.9,179489.2,855.94,,181911.88,1472.4,1452.79,6.93,,OK
BAJAJ ELECTRICALS LIMITED,Pharmaceuticals & Healthcare,Hyderabad,Telangana,4641.0,0.45,0.0144770016599194,0.003465,0.0014037170323128,0.003465,0.0048687170323128,0.016081065,Tier 2,75%,1498.16,5106.96,433629.94,43837.94,2142.48,0.0,440235.06,94857.8,9445.8,461.64,0.0,OK
BANK OF INDIA,Financial Services,Pune,Maharashtra,66732.0,0.42,0.0011797441546504,0.000297,7.425111564963855e-06,0.000297,0.0003044251115649,0.019819404,Tier 2,75%,9106.24,88417.59,0.0,614352.6,2916.3,,97523.83,1461.43,9206.27,43.7,,OK
BANK OF MAHARASHTRA,Financial Services,Ahmedabad,Gujarat,23284.0,0.51,0.0011797441546504,0.000297,2.584047066104209e-05,0.000297,0.000322840470661,0.006915348,Tier 2,75%,804.0,31925.0,,173997.68,80.94,,32729.0,0.0687167153410067,7472.84,3.48,,OK
BASF India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,13766.0,0.55,0.0374641669027132,0.005225,0.001496824916206,0.005225,0.006721824916206,0.0719273499999999,Tier 2,75%,17750.55,14997.4,,677015.0,6162.243,0.0,32747.95,2378.9,49180.23,447.64,0.0,OK
BATA INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,3479.0,0.62,0.0374641669027132,0.005225,0.0066765689795004,0.005225,0.0119015689795004,0.0181777749999999,Tier 2,75%,342.21,4452.89,,488359.0,580.37,0.0,4795.1,1378.3,140373.38,166.82,0.0,OK
BEML Limited,Chemicals & Fertilizers,Bangalore,Karnataka,4054.0,0.48,0.0374641669027132,0.005225,0.0044358165055013,0.005225,0.0096608165055013,0.02118215,Tier 2,75%,2829.31,8429.72,0.0,384315.0,7512.43,0.0,11259.03,2777.26,94798.96,1853.09,0.0,OK
BHARAT ELECTRONICS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,19819.0,0.52,0.0374641669027132,0.005225,0.0009829641651652,0.005225,0.0062079641651652,0.1035542749999999,Tier 2,75%,9204.38,17926.0,,1447204.0,1345.52,0.0,27130.38,14995.81209950048,466856.65270699834,2840.506584590544,0.0,OK
BHARAT HEAVY ELECTRICALS LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,23893.0,0.58,0.0374641669027132,0.005225,0.0009094386139695,0.005225,0.0061344386139695,0.1248409249999999,Tier 2,75%,135975.14,161227.44,0.0,9252632.0,56296.4,3.65,297202.58,12438.9,387252.84,2356.19,3.65,OK
BLS International Services Limited,Chemicals & Fertilizers,Hyderabad,Telangana,1677.0,0.45,0.0374641669027132,0.005225,0.0100529964855223,0.005225,0.0152779964855223,0.008762325,Tier 2,75%,19.84,322.8,,4662.77,0.0,,342.64,204.32,2780.42,0.0,,OK
Bajaj Auto Limited,Chemicals & Fertilizers,Pune,Maharashtra,44685.0,0.42,0.0374641669027132,0.005225,0.000352130471056,0.005225,0.005577130471056,0.2334791249999999,Tier 2,75%,23385.0,70779.0,,983915.3,15587.1,0.0,94164.0,2107.28,22018.92,348.82,0.0,OK
Bajaj Finance Limited,Financial Services,Ahmedabad,Gujarat,54982.0,0.51,0.0011797441546504,0.000297,1.0943027152008005e-05,0.000297,0.000307943027152,0.016329654,Tier 2,75%,6169.13,35483.1,20452.05,0.0,127.0,,62104.28,1129.54,0.0,2.31,,OK
Bajaj Finserv Limited,Financial Services,Mumbai,Maharashtra,110383.0,0.55,0.0011797441546504,0.000297,5.87825376242465e-06,0.000297,0.0003028782537624,0.032783751,Tier 2,75%,8966.0,49491.0,35338.0,0.0,213.16,,93795.0,849.72,0.0,1.93,,OK
Bajaj Holdings  Investment Limited,Financial Services,Delhi,Delhi,1885.0,0.62,0.0011797441546504,0.000297,0.0003880325601502,0.000297,0.0006850325601502,0.000559845,Tier 2,75%,2055.64,7.74,,0.0,0.0,,2063.38,1094.63,0.0,0.0,,OK
Balkrishna Industries Limited,Chemicals & Fertilizers,Bangalore,Karnataka,9165.0,0.48,0.0374641669027132,0.005225,0.0019621167608622,0.005225,0.0071871167608622,0.0478871249999999,Tier 2,75%,675773.0,83684.0,0.0,2087281.0,20494.11,0.0,759457.0,82864.92,227744.79,2236.13,0.0,OK
Balrampur Chini Mills Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,5619.0,0.52,0.0374641669027132,0.005225,0.0034670522849992,0.005225,0.0086920522849992,0.0293592749999999,Tier 2,75%,3492.0,2088.0,710707.0,2086269.46,97370.29,0.0,716287.0,127475.89,371288.39,17328.76,0.0,OK
Bandhan Bank Limited,Financial Services,Kolkata,West Bengal,21348.0,0.58,0.0011797441546504,0.000297,3.205225827699232e-05,0.000297,0.0003290522582769,0.006340356,Tier 2,75%,0.47,1284.25,,65195.0,0.0,,1284.72,60.18,3053.92,0.0,,OK
Bharat Dynamics Limited,Chemicals & Fertilizers,Hyderabad,Telangana,2369.0,0.45,0.0374641669027132,0.005225,0.0071164521343271,0.005225,0.0123414521343271,0.0123780249999999,Tier 2,75%,3491.0,15317.0,0.0,580663.0,550.2217,0.0,18808.0,7939.21,245108.91,232.26,0.0,OK
Bharat Forge Limited,Chemicals & Fertilizers,Pune,Maharashtra,15684.0,0.42,0.0374641669027132,0.005225,0.0010032485398584,0.005225,0.0062282485398584,0.0819488999999999,Tier 2,75%,78486.0,181232.0,517997.0,992253.0,107049.7956,0.0,777715.0,49586.52,63265.3,6825.41,0.0,OK
Bharti Airtel Limited,Information Technology,Ahmedabad,Gujarat,149982.0,0.51,0.0009696637386769,0.000396,3.2972523817872745e-06,0.000396,0.0003992972523817,0.059392872,Tier 2,75%,23218.0,490367.0,,128286.0,8209.0,0.0,513585.0,3424.31,855.34,54.73,0.0,OK
Bharti Hexacom Limited,Information Technology,Mumbai,Maharashtra,7088.0,0.55,0.0009696637386769,0.000396,7.524196617837119e-05,0.000396,0.0004712419661783,0.002806848,Tier 2,75%,21448.0,129017.0,,4466.0,1280.0,0.0,150465.0,21228.13,630.08,180.59,0.0,OK
Bikaji Foods International Limited,Pharmaceuticals & Healthcare,Delhi,Delhi,2329.0,0.62,0.0144770016599194,0.003465,0.0038539034045298,0.003465,0.0073189034045298,0.008069985,Tier 2,75%,28050.26,14029.44,2045.54,178070.0,4648.96,0.0,44125.24,18067.410905968227,76457.70717045943,1995.706311721769,0.0,OK
Biocon Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,14773.0,0.48,0.0144770016599194,0.003465,0.0004703825084113,0.003465,0.0039353825084113,0.051188445,Tier 2,75%,23898.0,23656.0,74014.0,501603.0,28549.59,0.0,121568.0,8229.07,33954.04,1932.55,0.0,OK
Birla Corporation Limited,Cement Manufacturing,Chennai,Tamil Nadu,9663.0,0.52,0.0777832037429109,0.0033,0.004185787638033,0.0033,0.007485787638033,0.0318879,Tier 2,75%,10383044.11,479527.6,,3371325.0,31951.55,0.0,10862571.71,1124140.71,348890.1,3306.59,0.0,OK
Birlasoft Limited,Information Technology,Kolkata,West Bengal,5278.0,0.58,0.0009696637386769,0.000396,0.0001065564547996,0.000396,0.0005025564547996,0.002090088,Tier 2,75%,472.0,3721.0,25607.0,38163.0,102.1,0.0,29800.0,5646.08,7230.58,19.34,0.0,OK
