Facility_ID,Company_Name,Corrected_City,Corrected_State,Latitude,Longitude,Confidence
EST_4,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_6,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_7,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_8,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_9,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_10,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_11,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_12,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_13,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_14,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_15,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_16,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_17,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_18,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_19,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_20,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_21,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_22,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_23,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_24,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_2,Sandur Manganese & Iron Ores Limited,Sandur,Karnataka,15.0832754,76.543411,High
EST_3,Sandur Manganese & Iron Ores Limited,Sandur,Karnataka,15.0832754,76.543411,High
EST_4,Sandur Manganese & Iron Ores Limited,Sandur,Karnataka,15.0832754,76.543411,High
EST_6,Sandur Manganese & Iron Ores Limited,Sandur,Karnataka,15.0832754,76.543411,High
EST_2,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_3,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_4,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_6,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_7,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_8,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_9,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_10,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_11,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_12,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_13,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_14,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_15,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
EST_16,Triveni Engineering & Industries Limited,Khatauli,Uttar Pradesh,29.2738601,77.7374607,High
