Company_Name,Battery Waste,Biomedical Waste,E-Waste Generated,Energy Intensity,Hazardous Air Pollutants,Plastic Waste Generated,Radioactive Waste,Scope 1 GHG Emissions,Scope 2 GHG Emissions,Scope 3 GHG Emissions,Total Energy Consumption,Total Energy from Non-Renewable Sources,Total Energy from Renewable Sources,Total Waste Disposed,Total Waste Generated,Total Waste Recovered,Total Water Discharged,Total Water Withdrawal,Waste Intensity,Waste Recycled,Waste Reused,Water Intensity,Land_Footprint_Hectares_x,Biodiversity_MSA_Loss,Sector,Data_Tier,Land_Footprint_Hectares_y,Total_Indicators,Data_Completeness_Pct
Oracle Financial Services Software Limited,10.57,0.0,11.53,8.354e-07,0.0,0.34,0.0,373.63,6819.0,,42597.0,35270.0,7327.0,28.21,112.3,76.4,3315.0,35464.0,2.2e-09,76.4,0.0,6.305e-07,0.5,0.0058,Financial Services,Tier 2,0.5,24,96.0
PATANJALI FOODS LIMITED,9.0,0.0,0.0,2.77558e-05,0.0,928.0,0.0,512498.0,81766.0,,9480543.0,7415392.0,2065151.0,0.0,64670.0,55229.0,112418.0,3041377.0,1.893e-07,52170.0,1998.0,8.575e-06,3.0,0.54,Chemicals & Fertilizers,Tier 2,3.0,24,96.0
PB FINTECH LIMITED,6.0,0.0,6.34,9.9302621348,0.37,0.0,0.0,1954.0,8945.0,,49425.0,49018.0,407.0,0.0,12.34,12.34,0.0,10343.0,0.0024793007,12.34,0.0,2.0780718515,0.1,0.042,Information Technology,Tier 2,0.1,24,96.0
PI INDUSTRIES LIMITED,4.18,0.03,4.27,1.95554e-05,0.0,587.8,0.0,37199.79,113143.76,0.0,1480579.9,1220524.7,260055.2,35414.0,118030.56,82616.56,257605.55,880411.2,1.5589e-06,76429.33,6183.57,8.226e-06,20.0,0.612,Chemicals & Fertilizers,Tier 2,20.0,25,100.0
PNB Housing Finance Limited,1.55,0.0,2.26,3.020119511,,0.0,0.0,6.97,4656.17,530.75,23137.8,23137.8,0.0,0.0,3.81,3.81,0.0,27464.22,0.0004973098,3.81,0.0,3.5848363577,0.1,0.66,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
PNC Infratech Limited,0.0,0.0,0.0,4.9385e-05,0.0,39.53,0.0,214342.13,4945.07,,2722654.92,2722654.92,0.0,2049.6,2089.13,39.53,3732778.0,3732778.0,3.79e-08,0.0,39.53,6.77071e-05,1.0,0.062,Information Technology,Tier 2,1.0,24,96.0
POLY MEDICURE LIMITED,2.36,1.54,0.61,1.5444e-05,0.0,1408.54,0.0,3602.58,40088.73,,247382.63,238774.41,8608.22,1.54,2227.45,2225.91,0.0,76120.91,1.391e-07,2225.91,0.0,4.7522e-06,1.0,0.576,Chemicals & Fertilizers,Tier 2,1.0,24,96.0
PTC Industries Limited,0.71,0.0,0.03,4.05591e-05,0.0,32.94,0.0,1305.67,9267.06,,97822.76,94537.08,3285.68,0.0,4436.64,4660.15,2480.0,7980.0,1.8395e-06,223.91,4436.24,3.3087e-06,5.0,0.624,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
PUNJAB NATIONAL BANK,0.0,0.0,1.1,8.193e-07,,6.03,0.0,10621.0,174100.0,67800402.6,1131218.0,1130182.0,1036.0,0.0,24.74,0.0,0.0,1233678.0,0.0,0.0,0.0,8.935e-07,0.1,0.0058,Financial Services,Tier 2,0.1,24,96.0
PVR INOX LIMITED,0.0,0.0,0.9885,2.0497e-05,0.0,0.0575,0.0,11705.0,220755.0,,1115540.0,1102025.0,13515.0,16.301,66.3552,14517.0,0.0,1008998.0,1.2e-09,0.0,0.0,1.85394e-05,5.0,0.54,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
