Company_Name,Sector,Location_Type,NumberOfLocations,Scope3_Relevance,Scope3_Factor,Note
COROMANDEL INTERNATIONAL LIMITED,Chemicals,Distribution/Service Location,15,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Craftsman Automation Limited,Automobile and Auto Components,Distribution/Service Location,16,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
CreditAccess Grameen Limited,Financial Services,Bank Branch,2062,High,0.5,These locations are outside BRSR scope but relevant for Scope 3
Crompton Greaves Consumer Electricals Limited,Consumer Durables,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Cummins India Limited,Capital Goods,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Dabur India Limited,Fast Moving Consumer Goods,Retail Store,45,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Dalmia Bharat Limited,Construction Materials,Distribution/Service Location,11,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
DCM Shriram Limited,Diversified,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Deepak Nitrite Limited,Chemicals,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Delhivery Limited,Services,Distribution/Service Location,3964,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
DIVIS LABORATORIES LIMITED,,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Dixon Technologies India Limited,,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
DOMS Industries Limited,Fast Moving Consumer Goods,Retail Store,9,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Dr Reddys Laboratories Limited,,Distribution/Service Location,24,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
EICHER MOTORS LIMITED,Automobile and Auto Components,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
EIH Limited,Consumer Services,Retail Store,28,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Electronics Mart India Limited,Consumer Services,Retail Store,210,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Electrosteel Castings Limited,Capital Goods,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Elgi Equipments Limited,Capital Goods,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Emami Limited,Fast Moving Consumer Goods,Retail Store,3,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Endurance Technologies Limited,Automobile and Auto Components,Distribution/Service Location,17,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Equitas Small Finance Bank Limited,Financial Services,Bank Branch,1368,High,0.5,These locations are outside BRSR scope but relevant for Scope 3
ESAB India Limited,,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Escorts Kubota Limited,Capital Goods,Distribution/Service Location,7,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Eureka Forbes Limited,Consumer Durables,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Exide Industries Limited,Automobile and Auto Components,Distribution/Service Location,9,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
FINE ORGANIC INDUSTRIES LIMITED,Chemicals,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Finolex Cables Limited,Capital Goods,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Finolex Industries Limited,Capital Goods,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Force Motors Ltd,Automobile and Auto Components,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
GAIL India Limited,,Distribution/Service Location,20,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
GALAXY SURFACTANTS LIMITED,,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Garden Reach Shipbuilders  Engineers Limited,,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Genus Power Infrastructures Limited,,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Gillette India Limited,Fast Moving Consumer Goods,Retail Store,1,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
GLAND PHARMA LIMITED,Healthcare,Clinic/Pharmacy,5,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Glenmark Pharmaceuticals Limited,Healthcare,Clinic/Pharmacy,5,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
GLOBAL HEALTH LIMITED,Healthcare,Clinic/Pharmacy,28,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
GODAWARI POWER AND ISPAT LIMITED,,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
GODREJ AGROVET LIMITED,Fast Moving Consumer Goods,Retail Store,25,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Godrej Consumer Products Limited,Fast Moving Consumer Goods,Retail Store,12,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Godrej Properties Limited,Realty,Distribution/Service Location,63,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
GRANULES INDIA LIMITED,Healthcare,Clinic/Pharmacy,9,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
GRAPHITE INDIA LIMITED,Capital Goods,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Grasim Industries Limited,Construction Materials,Distribution/Service Location,24,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Grindwell Norton Limited,,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Gujarat Ambuja Exports Limited,Fast Moving Consumer Goods,Retail Store,9,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
GUJARAT GAS LIMITED,Oil Gas & Consumable Fuels,Distribution/Service Location,903,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Gujarat State Petronet Limited,Oil Gas & Consumable Fuels,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
G R Infraprojects Limited,Construction,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Happy Forgings Limited,,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Havells India Limited,Consumer Durables,Distribution/Service Location,13,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
HERO MOTOCORP LIMITED,Automobile and Auto Components,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
HFCL Limited,Telecommunication,Service Center/Store,1,High,0.8,These locations are outside BRSR scope but relevant for Scope 3
Himadri Speciality Chemical Limited,Chemicals,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
HINDALCO INDUSTRIES LIMITED,Metals & Mining,Distribution/Service Location,13,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
HINDUSTAN AERONAUTICS LIMITED,Capital Goods,Distribution/Service Location,29,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
HINDUSTAN COPPER LIMITED,Metals & Mining,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Hindustan Petroleum Corporation Limited,Oil Gas & Consumable Fuels,Distribution/Service Location,212,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Hindustan Unilever Limited,Fast Moving Consumer Goods,Retail Store,24,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Hindustan Zinc Limited,Metals & Mining,Distribution/Service Location,15,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Hitachi Energy India Limited,Capital Goods,Distribution/Service Location,7,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
IDFC FIRST Bank Limited,Financial Services,Bank Branch,999,High,0.5,These locations are outside BRSR scope but relevant for Scope 3
Indian Bank,Financial Services,Bank Branch,5899,High,0.5,These locations are outside BRSR scope but relevant for Scope 3
Indian Oil Corporation Limited,Oil Gas & Consumable Fuels,Distribution/Service Location,618,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
IndusInd Bank Limited,Financial Services,Bank Branch,3078,High,0.5,These locations are outside BRSR scope but relevant for Scope 3
INOX India Limited,Capital Goods,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Inox Wind Limited,Capital Goods,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Ion Exchange India Limited,,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Ipca Laboratories Limited,Healthcare,Clinic/Pharmacy,14,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
IRB Infrastructure Developers Limited,Construction,Distribution/Service Location,43,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
ISGEC Heavy Engineering Limited,Construction,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
ITC Limited,Fast Moving Consumer Goods,Retail Store,61,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
JAIPRAKASH POWER VENTURES LIMITED,Power,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JAI BALAJI INDUSTRIES LIMITED,Metals & Mining,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JBM Auto Limited,Automobile and Auto Components,Distribution/Service Location,26,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Jindal Saw Limited,Capital Goods,Distribution/Service Location,9,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Jindal Stainless Limited,Metals & Mining,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JINDAL STEEL  POWER LIMITED,,Distribution/Service Location,10,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JK CEMENT LIMITED,Construction Materials,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JK LAKSHMI CEMENT LIMITED,Construction Materials,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JK Tyre  Industries Limited,,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JSW Energy Limited,Power,Distribution/Service Location,59,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JSW Infrastructure Limited,Services,Distribution/Service Location,9,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JSW Steel Limited,Metals & Mining,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Jubilant FoodWorks Limited,Consumer Services,Retail Store,6,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
JUBILANT INGREVIA LIMITED,Chemicals,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Juniper Hotels Limited,,Distribution/Service Location,7,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Jupiter Life Line Hospitals Limited,,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Jupiter Wagons Limited,Capital Goods,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
JYOTHY LABS LIMITED,Fast Moving Consumer Goods,Retail Store,22,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
JYOTI CNC AUTOMATION LIMITED,Capital Goods,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Kajaria Ceramics Limited,Consumer Durables,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Kalpataru Projects International Limited,Construction,Distribution/Service Location,234,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Kansai Nerolac Paints Limited,Consumer Durables,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Kaynes Technology India Limited,Capital Goods,Distribution/Service Location,14,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
KEC International Limited,Construction,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
KEI INDUSTRIES LIMITED,Capital Goods,Distribution/Service Location,7,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
KIOCL Limited,,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Kirloskar Brothers Limited,Capital Goods,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Kirloskar Oil Engines Limited,,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
KOTAK MAHINDRA BANK LIMITED,Financial Services,Bank Branch,2148,High,0.5,These locations are outside BRSR scope but relevant for Scope 3
KPI GREEN ENERGY LIMITED,Power,Distribution/Service Location,76,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
KPR MILL LIMITED,,Distribution/Service Location,9,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Krishna Institute of Medical Sciences Limited,Healthcare,Clinic/Pharmacy,3,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
KSB Limited,Capital Goods,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Larsen  Toubro Limited,,Distribution/Service Location,16,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
LAURUS LABS LIMITED,Healthcare,Clinic/Pharmacy,4,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Lemon Tree Hotels Limited,Consumer Services,Retail Store,105,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Linde India Limited,Chemicals,Distribution/Service Location,25,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Lloyds Metals and Energy Limited,Metals & Mining,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Lupin Limited,Healthcare,Clinic/Pharmacy,10,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
MACROTECH DEVELOPERS LIMITED,,Distribution/Service Location,44,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Mahanagar Gas Limited,Oil Gas & Consumable Fuels,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Maharashtra Seamless Limited,Capital Goods,Distribution/Service Location,7,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Mahindra Holidays  Resorts India Limited,,Distribution/Service Location,49,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Mahindra  Mahindra Limited,,Distribution/Service Location,36,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
MANKIND PHARMA LIMITED,Healthcare,Clinic/Pharmacy,4,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Marico Limited,Fast Moving Consumer Goods,Retail Store,4,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
