Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR
Visa Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Vesuvius India Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
"Vedanta Resources (Zinc, Copper, Iron)",Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
APL Apollo Tubes,Other Business Services,150000000000.0,1666.6666666666667,Other business activities,0.05,83.33333333333334,0.05,0.5555555555555556
Varun Beverages (PepsiCo franchise),FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555
Vardhman Textiles,Textiles,81260175345.0,902.8908371666666,Textiles,0.3,270.86725114999996,0.3,3.333333333333333
Uttam Galva Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Usha Martin,Retail,57790.0,0.0006421111111111111,Other business activities,0.05,3.210555555555556e-05,0.05,0.5555555555555556
Adhunik Metaliks,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Signatureglobal (India) Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Trident Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Torrent Power,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333335
"Aditya Birla Fashion (Allen Solly, Peter England)",Other Business Services,35000000000.0,388.8888888888889,Other business activities,0.05,19.444444444444446,0.05,0.5555555555555556
Air Asia India,Other Business Services,30000000000.0,333.3333333333333,Other business activities,0.05,16.666666666666668,0.05,0.5555555555555556
Tayo Rolls,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Air India,Other Business Services,300000000000.0,3333.3333333333335,Other business activities,0.05,166.66666666666669,0.05,0.5555555555555556
Tata Power,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333335
Tamil Nadu Newsprint and Papers (TNPL),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Sunflag Iron and Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
