Company_Name,Indicator_ID,Indicator_Name,Dimension,Value,Unit,Data_Source,XBRL_Tag,Data_Tier,Confidence,FY_Year,Source_File,Verification,Calculation_Method,Tolerance,Within_Tolerance
Aether Industries Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,22.0338026546,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Aether_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aether Industries Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Aether_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aether Industries Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Aether_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aether Industries Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Aether_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aether Industries Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,20.41,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Aether_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
AIA ENGINEERING LIMITED,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,0.834508455,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,AIA_ENGINEERING_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
AIA ENGINEERING LIMITED,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,9.4,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,AIA_ENGINEERING_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
AIA ENGINEERING LIMITED,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,13.03,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,AIA_ENGINEERING_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
AIA ENGINEERING LIMITED,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,45.86,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,AIA_ENGINEERING_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
AIA ENGINEERING LIMITED,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,276.6,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,AIA_ENGINEERING_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
