Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Total_Land_ha,Land_Degraded_Reported_ha,Land_Degraded_HA_Calculated,Land_Degradation_Pct,Land_Restored_ha,Land_Data_Quality,Renewable_Energy_Pct,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Distance_To_Protected_Area_km,Land_Degraded_HA_Reported,Land_Intensity,PA_Proximity_Score,Renewable_Energy_GJ,Total_Energy_GJ,Water_Intensity,Water_Stress_Category,Water_Stress_Score,Water_Recycling_Pct,Water_Discharge_ML,Waste_Recycled_Pct,Plastic_Waste_MT,E_Waste_MT,Scope3_OLD
Aditya Birla Fashion and Retail Limited,Pharmaceuticals & Healthcare,Kolkata,West Bengal,7733.12,0.58,0.0144770016599194,0.003465,0.0005999757744018,0.003465,0.0040649757744018,26.7952608,Tier 2,75%,3024.0,106953.0,1584928.0,204591.0,5156.31,0.0,1694905.0,219174.79620127453,26456.462592071508,666.7826181411901,0.0,OK,,34.6,34.6,,,,,,24.0,8.03179190751445,,,0.0,277.9,4.47426135893404,0.0,124500.0,1245000.0,26456.462592071508,Medium-High (2-3),2.3354314384590475,65.0,4200.0,82.0,1450.0,4.2,0.048492675
Aditya Birla Sun Life AMC Limited,Financial Services,Hyderabad,Telangana,1659.0874554,0.45,0.0011797441546504,0.000297,0.000323710286337,0.000297,0.000620710286337,0.4927489742538,Tier 2,75%,0.25,0.0,1450.0,2851.2,1.9497,,1450.25,874.1251073171125,1718.5350842837793,1.175164090147336,,OK,,8.0,8.0,,,,,,99.8,0.225,,,0.0,1.8,4.821927845914083,0.0,1487.68,1490.82,1718.5350842837793,Low-Medium (1-2),1.8228312153423785,0.0,0.0,90.0,0.8,12.4,0.00048708
Aegis Logistics Limited,Chemicals & Fertilizers,Pune,Maharashtra,2980.3505,0.42,0.0374641669027132,0.005225,0.0022025406073823,0.005225,0.0074275406073823,15.572331362499998,Tier 2,75%,,4250.0,21500.0,13388.0,14.96,0.0,25750.0,8639.923391560824,4492.0891016006335,5.019543842242716,0.0,PARTIAL ENV DATA,85.0,145.0,230.0,,,,,,0.5,0.3752173913043478,,,0.0,86.3,77.1721312644268,0.0,211.5,42300.0,4492.0891016006335,Extremely High (4-5),4.063290947118964,0.0,1200.0,45.0,2.4,0.6,0.0373274
Aether Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,991.99,0.51,0.0374641669027132,0.005225,0.0293498081726324,0.005225,0.0345748081726324,5.18314775,Tier 2,75%,7718.84,16496.52,561.77,183505.0,5061.54,14.5,24777.13,24977.19735077975,184986.74381798203,5102.41030655551,0.0,OK,115.0,15.0,130.0,,,,,,8.2,0.6253846153846153,,,0.0,81.3,131.04970816238068,0.0,35760.0,436100.0,184986.74381798203,High (3-4),3.841581487766338,100.0,0.0,38.0,12.4,0.6,0.0034014749999999
Ajanta Pharma Limited,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,4648.1,0.55,0.0144770016599194,0.003465,0.0018508486548014,0.003465,0.0053158486548014,16.1056665,Tier 2,75%,6392.0,43598.47,10789.88,490670.4,3071.09,0.0,60780.35,13076.386050214065,105563.64966330328,660.7194337471225,0.0,OK,215.0,15.0,230.0,0.0,120.8,52.52173913043479,0.0,MSA_PROXY_HIGH,12.5,0.5252173913043479,0.0,0.5252173913043479,0.0,120.8,49.48258428174953,0.0,52562.5,420500.0,105563.64966330328,Medium-High (2-3),2.811657900764125,100.0,0.0,88.0,84.5,2.1,0.01490643
Akzo Nobel India Limited,Chemicals & Fertilizers,Delhi,Delhi,4091.211,0.62,0.0374641669027132,0.005225,0.0058626409590313,0.005225,0.0110876409590313,21.376577475,Tier 2,75%,304.0,8133.0,777.0,130360.0,3398.4,0.0,9214.0,2252.1449028172833,31863.42625692002,830.6586973881329,0.0,OK,115.0,15.0,130.0,,,,,,22.0,0.6253846153846153,,,0.0,81.3,31.77543275084077,0.0,45600.0,185400.0,31863.42625692002,Medium-High (2-3),2.349093660047609,18.5,0.0,72.0,315.0,1.4,0.0207014499999999
Alkem Laboratories Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,10551.132578511,0.48,0.0144770016599194,0.003465,0.0005487176876785,0.003465,0.0040137176876785,36.55967438454062,Tier 2,75%,33018.0,76079.0,95400.0,684761.0,5578.0,0.0,204497.0,19381.52122327507,64899.28876399685,528.6636253022214,0.0,OK,620.0,45.0,665.0,,,,,,9.5,0.5249624060150376,,,0.0,349.1,63.02640925528455,0.0,116651.0,810145.0,64899.28876399685,Medium-High (2-3),2.725198127760862,32.0,0.0,85.5,412.0,5.6,0.04388076
Amara Raja Energy  Mobility Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,12404.8988372,0.52,0.0374641669027132,0.005225,0.001730139146484,0.005225,0.0069551391464839,64.81559642437,Tier 2,75%,6816.0,230765.0,451864.0,941500.0,27573.26,1.73,689445.0,55578.44598719998,75897.43474381391,2222.771855044306,1.73,OK,450.0,22.0,472.0,,,,,,12.0,0.625,,,0.0,295.0,38.049484013892894,0.0,242100.0,1345000.0,75897.43474381391,Extremely High (4-5),4.470972456220018,14.0,0.0,99.5,2415.0,8.4,0.0588335
Amber Enterprises India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,9973.015655987,0.58,0.0374641669027132,0.005225,0.0032407482182809,0.005225,0.0084657482182808,52.10900680253207,Tier 2,75%,8150.35,57550.75,32400.0,277748.68,26753.35,0.0,98101.1,9836.653564371773,27850.01945056227,2682.5737492891058,0.0,OK,22.4,5.0,27.4,,,,,,5.0,3.0656934306569346,,,0.0,84.0,2.747413715685008,0.0,34560.0,345600.0,27850.01945056227,High (3-4),3.3183323005283647,12.0,4500.0,68.0,142.0,2.8,0.035033625
Ambuja Cements Limited,Cement Manufacturing,Hyderabad,Telangana,18857.0,0.45,0.0777832037429109,0.0033,0.0010555621738332,0.0033,0.0043555621738332,62.2281,Tier 2,75%,14756978.0,485448.0,4124000.0,4703097.26,283850.79,42100.0,19366426.0,1027015.2198122712,249408.56233759344,15052.80744551095,0.0,OK,6500.0,1250.0,7750.0,,,,160.0,,18.4,0.0238709677419354,0.0206451612903225,,0.0,185.0,410.98796203001535,0.0,4827941.0,70330843.0,249408.56233759344,Extremely High (4-5),5.0,18.4,0.0,98.6,14580.0,14.2,0.109428
