Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website
Trident Ltd.,TRIDENT,TRIDENT,Textiles & Apparel,20731.647450326498,8292.66,
Welspun Living Ltd.,WELSPUNLIV,WELSPUNLIV,Textiles & Apparel,14385.6999844565,5754.28,
Alok Industries Ltd.,ALOKINDS,ALOKINDS,Textiles & Apparel,14151.788720393,5660.72,
Vardhman Textiles Ltd.,VTL,VTL,Textiles & Apparel,12682.969818219499,5073.19,
Arvind Ltd.,ARVIND,ARVIND,Textiles & Apparel,8208.386070596,3283.35,
Garware Technical Fibres Ltd.,GARFIBRES,GARFIBRES,Textiles & Apparel,7062.959900509501,2825.18,
Jindal Worldwide Ltd.,JINDWORLD,JINDWORLD,Textiles & Apparel,6768.113176049001,2707.25,
Indo Count Industries Ltd.,ICIL,ICIL,Textiles & Apparel,6643.270644432,2657.31,
Gokaldas Exports Ltd.,GOKEX,GOKEX,Textiles & Apparel,5391.6106072505,2156.64,
Lux Industries Ltd.,LUXIND,LUXIND,Textiles & Apparel,3919.556303784,1567.82,
Pearl Global Industries Ltd.,PGIL,PGIL,Textiles & Apparel,2695.9542674040003,1078.38,
Ganesha Ecosphere Ltd.,GANECOS,GANECOS,Textiles & Apparel,2615.255402886,1046.1,
Kitex Garments Ltd.,KITEX,KITEX,Textiles & Apparel,1453.7233536585,581.49,
Raymond Lifestyle Ltd.,544240,RAYMONDLSL,Textiles & Apparel,0.0,0.0,
NTPC Ltd.,NTPC,NTPC,Power Generation,332600.9008917805,133040.36,
Adani Green Energy Ltd.,ADANIGREEN,ADANIGREEN,Power Generation,287301.301119451,114920.52,
Power Grid Corporation of India Ltd.,POWERGRID,POWERGRID,Power Generation,265104.404097148,106041.76,
Adani Power Ltd.,ADANIPOWER,ADANIPOWER,Power Generation,233359.540641503,93343.82,
Tata Power Co. Ltd.,TATAPOWER,TATAPOWER,Power Generation,128992.80427176852,51597.12,
