Company_Name,Facility_ID,Facility_Type,Latitude,Longitude,City,State,Facility_Name
ADANI POWER LIMITED,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
ADANI POWER LIMITED,2,Plant,22.3511148,78.6677428,,,Plant
Adani Total Gas Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Adani Total Gas Limited,2,Facility,23.0080221,72.6303338,Ramol,,Facility
Aditya Birla Capital Limited,1,Registered Office,22.3850051,71.745261,,Gujarat,Registered Office
Aditya Birla Capital Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Aditya Birla Capital Limited,3,Plant,12.9697099,77.6368108,Jaipur,Karnataka,Plant
Aditya Birla Fashion and Retail Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Aditya Birla Fashion and Retail Limited,2,Corporate Office,12.9767936,77.590082,Bengaluru,Karnataka,Corporate Office
Aditya Birla Sun Life AMC Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Aditya Birla Sun Life AMC Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Aditya Birla Sun Life AMC Limited,3,Facility,19.054999,72.8692035,Mumbai,Maharashtra,Facility
Aegis Logistics Limited,1,Registered Office,20.3735482,72.9084376,Vapi,Gujarat,Registered Office
Aegis Logistics Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Aether Industries Limited,1,Registered Office,21.2094892,72.8317058,Surat,Gujarat,Registered Office
AIA ENGINEERING LIMITED,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
AIA ENGINEERING LIMITED,2,Corporate Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Corporate Office
Ajanta Pharma Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Akzo Nobel India Limited,1,Registered Office,22.5726459,88.3638953,Kolkata,West Bengal,Registered Office
Akzo Nobel India Limited,2,Corporate Office,28.4646148,77.0299194,Gurugram,Haryana,Corporate Office
ALEMBIC PHARMACEUTICALS LIMITED,1,Registered Office,22.2973142,73.1942567,Vadodara,Gujarat,Registered Office
Alkem Laboratories Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Alkem Laboratories Limited,2,Plant,20.2072531,73.2762766,Daman,Gujarat,Plant
ALKYL AMINES CHEMICALS LIMITED,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
ALKYL AMINES CHEMICALS LIMITED,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
ALOK INDUSTRIES LIMITED,1,Registered Office,20.2736768,73.0045787,Silvassa,Dadra and Nagar Haveli,Registered Office
ALOK INDUSTRIES LIMITED,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Amara Raja Energy  Mobility Limited,1,Registered Office,15.9240905,80.1863809,,Andhra Pradesh,Registered Office
Amara Raja Energy  Mobility Limited,2,Corporate Office,17.360589,78.4740613,Hyderabad,Telangana,Corporate Office
Amber Enterprises India Limited,1,Registered Office,30.9293211,75.5004841,,Punjab,Registered Office
Amber Enterprises India Limited,2,Corporate Office,28.4646148,77.0299194,Gurgaon,Haryana,Corporate Office
Amber Enterprises India Limited,3,Plant,19.0543115,72.8329515,Faridabad,Maharashtra,Plant
Ambuja Cements Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Anand Rathi Wealth Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Anand Rathi Wealth Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Anant Raj Limited,1,Registered Office,28.3247096,76.9263787,Manesar,Haryana,Registered Office
Anant Raj Limited,2,Corporate Office,28.6138954,77.2090057,Delhi,Delhi,Corporate Office
Angel One Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Anupam Rasayan India Limited,1,Registered Office,21.2094892,72.8317058,Surat,Gujarat,Registered Office
Anupam Rasayan India Limited,2,Corporate Office,21.2094892,72.8317058,Surat,Gujarat,Corporate Office
APAR Industries Limited,1,Registered Office,22.2973142,73.1942567,Vadodara,Gujarat,Registered Office
APAR Industries Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
APL Apollo Tubes Limited,1,Registered Office,28.6138954,77.2090057,Delhi,Delhi,Registered Office
APL Apollo Tubes Limited,2,Corporate Office,28.5706333,77.3272147,Noida,Uttar Pradesh,Corporate Office
APL Apollo Tubes Limited,3,Plant,17.8735537,77.5580663,Hyderabad,Karnataka,Plant
Apollo Tyres Limited,1,Registered Office,9.9679032,76.2444378,Kochi,Kerala,Registered Office
Apollo Tyres Limited,2,Corporate Office,28.4646148,77.0299194,Gurugram,Haryana,Corporate Office
Aptus Value Housing Finance India Limited,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
Archean Chemical Industries Limited,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
ARVIND LIMITED,2,Plant,22.3511148,78.6677428,,,Plant
Asahi India Glass Limited,1,Registered Office,28.6138954,77.2090057,Delhi,Delhi,Registered Office
Asahi India Glass Limited,2,Corporate Office,28.4646148,77.0299194,Gurgaon,Haryana,Corporate Office
Asahi India Glass Limited,3,Plant,12.9767936,77.590082,Bengaluru,Karnataka,Plant
Ashok Leyland Limited,1,Registered Office,13.0119634,80.2217867,Chennai,Tamil Nadu,Registered Office
Ashok Leyland Limited,2,Plant,12.7183361,77.8229481,Hosur,Tamil Nadu,Plant
Asian Paints Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Asian Paints Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Aster DM Healthcare Limited,1,Registered Office,12.9767936,77.590082,Bengaluru,Karnataka,Registered Office
Aster DM Healthcare Limited,2,Corporate Office,12.9767936,77.590082,Bengaluru,Karnataka,Corporate Office
Astral Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Astral Limited,2,Facility,22.4732415,70.0552102,Jamnagar,,Facility
AstraZeneca Pharma India Limited,1,Registered Office,12.9767936,77.590082,Bengaluru,Karnataka,Registered Office
AstraZeneca Pharma India Limited,2,Plant,13.1006982,77.5963454,Bengaluru,Karnataka,Plant
Atul Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
AUROBINDO PHARMA LIMITED,1,Registered Office,17.360589,78.4740613,Hyderabad,Telangana,Registered Office
AUROBINDO PHARMA LIMITED,2,Corporate Office,17.360589,78.4740613,Hyderabad,Telangana,Corporate Office
Authum Investment  Infrastructure Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Authum Investment  Infrastructure Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
AU Small Finance Bank Limited,1,Registered Office,26.4691,74.639,Ajmer,Rajasthan,Registered Office
AU Small Finance Bank Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Avenue Supermarts Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Avenue Supermarts Limited,2,Corporate Office,19.3653598,73.3685437,Thane,,Corporate Office
Axis Bank Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Axis Bank Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Bajaj Auto Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
BAJAJ ELECTRICALS LIMITED,1,Registered Office,18.9321116,72.8338608,Mumbai,Maharashtra,Registered Office
BAJAJ ELECTRICALS LIMITED,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Bajaj Finance Limited,2,Corporate Office,18.5213738,73.8545071,Pune,Maharashtra,Corporate Office
Bajaj Finserv Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Bajaj Finserv Limited,2,Corporate Office,18.5213738,73.8545071,Pune,Maharashtra,Corporate Office
Bajaj Holdings  Investment Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Bajaj Holdings  Investment Limited,2,Corporate Office,18.5213738,73.8545071,Pune,Maharashtra,Corporate Office
Balkrishna Industries Limited,1,Registered Office,19.5670323,76.4164557,,Maharashtra,Registered Office
Balkrishna Industries Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Balkrishna Industries Limited,3,Plant,22.3511148,78.6677428,,,Plant
Balrampur Chini Mills Limited,1,Registered Office,22.5726459,88.3638953,Kolkata,West Bengal,Registered Office
Bandhan Bank Limited,1,Registered Office,22.5774404,88.4306504,Kolkata,West Bengal,Registered Office
Bandhan Bank Limited,2,Corporate Office,22.5726459,88.3638953,Kolkata,West Bengal,Corporate Office
Bank of Baroda,1,Registered Office,22.2973142,73.1942567,Vadodara,Gujarat,Registered Office
Bank of Baroda,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
